text,source_party,label,source,reliability,bias
"Performance brands like 66°North and The North Face do fleeces really well but for a fancier fashion edge seek out Heresy, whose folkloric design (3), comes with matching trousers.",Lean Left,0,the-guardian,40.67,-7.97
"Cystic fibrosis is a distressing disease, clogging the lungs of children who have to fight to breathe, and shortening lives.",Lean Left,0,the-guardian,40.67,-7.97
"Physiocrats proposed the rational resolution of the nation’s economic woes as those problems drove a vast, unruly underclass to riot for bread.",Lean Left,0,the-guardian,40.67,-7.97
"It is a large circular mound, one-acre in area, encircled by 97 large kerbstones.",Lean Left,0,the-guardian,40.67,-7.97
"The first she heard of the torture was in September 2006, when Feinstein and other members of the intelligence committee were privately briefed by the then head of the CIA, Michael Hayden.",Lean Left,0,the-guardian,40.67,-7.97
"Or cosy up in the deep sofas at dinky, retro Totnes Cinema for its Christmas classic screenings; head even further back in time with Bizarre Rituals’ Deep and Crisp and Even medieval-themed rave at The Barrel House Ballroom on 23 December.",Lean Left,0,the-guardian,40.67,-7.97
"Manchester City (137), Real Madrid (119), Bayern Münich (111) and Bayer Leverkusen (110) are also on the list.",Lean Left,0,the-guardian,40.67,-7.97
This case is incredibly important for the players concerned and those to come and incredibly dangerous for the sport.,Lean Left,1,the-guardian,40.67,-7.97
"After studying at Dartington College of Arts, she worked in acting but was frustrated by the parts she was offered.",Lean Left,0,the-guardian,40.67,-7.97
"Although given the amount of blood, guts and spilled entrails on each page, you’ll need to make sure they’re also well stocked up on red crayons.",Lean Left,1,the-guardian,40.67,-7.97
"The government has been accused of dragging its feet over taking action on PFAS compared with the EU, which is considering stricter regulation across all 10,000 or so of the substances.",Lean Left,1,the-guardian,40.67,-7.97
The chunky camera bar on the back keeps the phone from rocking when placed screen up on a table.,Lean Left,0,the-guardian,40.67,-7.97
"Re-board the train to continue to seaside Port Erin, a resort boasting glorious beaches, views out to the offshore Calf of Man and a Railway Museum that's must-see for enthusiasts.",Lean Left,0,the-guardian,40.67,-7.97
"On the final day of last season, after HSV had won 1-0 at SV Sandhausen and risen to second, the final automatic promotion spot, it looked as if the fallen giants would finally clamber back up to the Bundesliga, where they spent an unbroken 55 years before their harrowing relegation in 2018.",Lean Left,0,the-guardian,40.67,-7.97
"On Tuesday, the state’s planning department accidentally revealed the government planned to rezone land around train stations across Sydney to boost density.",Lean Left,0,the-guardian,40.67,-7.97
"BBT 3 NewJeans - Super Shy NewJeans: Super Shy - video The thunderous trap or light funk still used by plenty of K-pop artists has felt very tired with the advent of girl group NewJeans (plus open-minded peers such as Aespa and Fifty Fifty), and Super Shy is fresher than a lightly spritzed bushel of mint.",Lean Left,0,the-guardian,40.67,-7.97
"As well as its glorious architecture, Lyon is generally acknowledged as France’s (and to locals the world’s) gastronomic capital.",Lean Left,1,the-guardian,40.67,-7.97
"They’re supported by Joseph Ayre as Stacey’s violent boyfriend and Sian Breckin as Jen’s sweet but underwritten mum, whose personality is reduced to the menopause.",Lean Left,1,the-guardian,40.67,-7.97
"Rosamund Pike steals the show as society beauty Elspeth, a perennial debutante who seems faintly surprised to find herself living in the 21st century.",Lean Left,1,the-guardian,40.67,-7.97
"Back to Arundell, and for now the RFU can hide behind its exceptional circumstances, invoked because London Irish went bust at the end of last season.",Lean Left,1,the-guardian,40.67,-7.97
"Bundesliga on August 5th this year, Elversberg was leading from 55th until 100th minute, but Hansa Rostock won 1:2 with two very late goals.",Lean Left,0,the-guardian,40.67,-7.97
"Morrisons The Best Crémant de Limoux Rosé Languedoc, France NV (£12.50, Morrisons) In their relatively cool, elevated perch in the foothills of the Pyrenees, Limoux’s vignerons have a long tradition of making classy but good value bottle-fermented fizz.",Lean Left,0,the-guardian,40.67,-7.97
"Born Brian Frederick Hines in Birmingham, 1944, he took on a snappier stage name and began his first band in his teens: Denny Laine and the Diplomats, whose singer was the future glam star Roy Wood and whose drummer was the future ELO member Bev Bevan.",Lean Left,0,the-guardian,40.67,-7.97
"Unless Starmer and team act to reduce its power and capacity for untruth, they can expect new heights of feral bestiality inhibiting their every act in government - especially on Europe.",Lean Left,1,the-guardian,40.67,-7.97
"It doesn’t reach for the wayward euphoria of Melodrama’s lead single Green Light, but more attainable epiphanies.",Lean Left,0,the-guardian,40.67,-7.97
"She remains merely a blind spot, a handmaiden, a footnote in service to the bigger story.",Lean Left,1,the-guardian,40.67,-7.97
The property paranoia often associated with extreme wealth - the sense that everyone is plotting to take it away from you - is easily triggered.,Lean Left,1,the-guardian,40.67,-7.97
"Put bluntly, they have been badly let down by those who profit from their efforts.",Lean Left,1,the-guardian,40.67,-7.97
