,text,source,label,reliability,bias
683,"Arpaio endorsed Mitt Romney in 2008, choosing him over eventual nominee and fellow Arizonan John McCain.",huffpost,0,37.82,-10.75
7420,"Asked about his political future, he said, ""I am not running for office; I am not a candidate in the future.""",huffpost,0,37.82,-10.75
4657,"“Against this backdrop, we do not believe the executive branch is operating pursuant to ‘secret law’ or ‘secret opinions of the Department of Justice,’ ” Mr. Weich wrote.",the-new-york-times,0,40.94,-7.94
6509,"""Trump says he wants to run the nation like he's running his business?",fox-news,0,35.44,11.06
3095,"“If there is a human involved, there is a high probability you’re going to get somewhere investigatively,” he told The Associated Press. ",fox-news,0,35.44,11.06
6584,"Economics professor Dave Brat, the Tea Party candidate who defeated Cantor, attacked the congressman as soft on border security and on people who come here illegally.",fox-news,0,35.44,11.06
3076,I am confident that this person or people will be brought to justice.”,fox-news,0,35.44,11.06
6639,They want someone different.,huffpost,0,37.82,-10.75
1168,"Practically speaking, he continued, impeachment is only possible if Republican lawmakers and the general public believe Trump is unfit for office.",huffpost,0,37.82,-10.75
7579,"Earlier this week, the colorful and sometimes combative congressman who represents parts of Brooklyn and Queens was characteristically sharp tongued, refusing to answer reporters' questions about it, and even calling one a ""jackass"" for interrupting him.",huffpost,0,37.82,-10.75
6129,"He said he heard at least 30 shots and got down on the ground, but couldn’t see the shooter.",huffpost,0,37.82,-10.75
2531,But the contentious Clarence Thomas hearing in 1991 produced a 52-48 split that just pushed Thomas over the finish line.,fox-news,0,35.44,11.06
41,"“When he asked me to join the ticket, he basically said to me, 'You share my values and you have the kind of experience that could be a complement to my experience to getting this country back on track, to creating jobs, to getting people back to work, to saving this country from a debt crisis,'"" Ryan said.",fox-news,0,35.44,11.06
4952,"The Federal Election Commission, and Departments of Health and Human Services and Homeland Security, also extended federal benefits to gay couples in states that don’t recognize their marriages.",huffpost,0,37.82,-10.75
1373,"But their efforts, which come after both chambers overwhelmingly passed the bill, are almost certain to be futile, and members of both parties have vowed to override the bill.",the-new-york-times,0,40.94,-7.94
2302,"At a news conference at the United Nations a little more than a week after The Times’s report, Mrs. Clinton first said she “chose not to keep” her private personal emails.",the-new-york-times,0,40.94,-7.94
7316,A spokesman for the National Rifle Association did not immediately respond to requests for comment on the president's proposal.,huffpost,0,37.82,-10.75
217,"""If they come to a reasonable agreement, I would support that,"" Trump told reporters.",fox-news,0,35.44,11.06
185,Setting the tone for the 112th Congress — in which every House bill must cite the constitutional source of its authority — members of the House of Representatives began to read the United States Constitution aloud from the chamber’s floor on Thursday morning.,the-new-york-times,0,40.94,-7.94
3927,“We cannot rely on empty promises from those who have already proven to play politics with the lives of Dreamers.,fox-news,0,35.44,11.06
2586,"Mr. McConnell has said he wants the Senate to confirm Judge Gorsuch to fill the vacancy, which was created by the death of Justice Antonin Scalia more than a year ago, before departing for a scheduled recess on April 7.",the-new-york-times,0,40.94,-7.94
6900,"Senator Ben Sasse, Republican of Nebraska, called it “a sad day for America because Secretary Mattis was giving advice the President needs to hear.”",the-new-york-times,0,40.94,-7.94
828,Sestak ultimately rejected the overture and went on to defeat incumbent Sen. Arlen Specter (D-Penn) in the Democratic primary election earlier this month.,huffpost,0,37.82,-10.75
5452,It is a disgrace.,fox-news,0,35.44,11.06
2534,"Nominees have, in turn, generally refused to answer any question directly, in an appparent fear of revealing any bias about a potential future case they may hear.",huffpost,0,37.82,-10.75
