text,source,label,reliability,bias
"Riot police appeared to make some progress in driving back activists after this, but the situation remains tense, with the police horses unnerved by individuals who hurled flares towards them.",breitbart,1,31.15,13.7
"The House Democrats’ 1,400-page coronavirus recovery bill threatens the livelihood of millions of American graduates and their families by expanding work visas for many of the roughly 1.5 million foreign college graduate contract workers who hold jobs in the United States.",breitbart,1,31.15,13.7
"Floyd, 46, was killed in police custody in Minneapolis, Minnesota, on Memorial Day, setting off nationwide protests and riots and reinvigorating the Black Lives Matter movement.",breitbart,1,31.15,13.7
Biden’s shift radically leftward reflects that of his party.,breitbart,1,31.15,13.7
"While the mayor has severely curtailed religious practice in the city, he has defended the rights of citizens to form huge gatherings to protest, even violently, and obviously without social distancing or masks (except perhaps antifa masks).",breitbart,1,31.15,13.7
U.S. Education Secretary Betsy DeVos is withdrawing protections put in place by former President Barack Obama for students who have mismanaged or are defaulting on their college loans.,breitbart,0,31.15,13.7
"Pelosi’s coronavirus plan uses the pandemic to cram provisions of the House Democrats’ H.R. 1 legislation into federal law. That legislation went even further in its efforts to create loopholes for voter fraud, allowing convicted felons to vote in federal elections.",breitbart,1,31.15,13.7
"The idea behind the conspiracy is that these miracle vaccines — and they are medical miracles — can cause autism, when there is no data to back that up.",breitbart,1,31.15,13.7
This violence has nothing to do with George Floyd; everything to do with the hard left’s relentless war on Western Civilisation.,breitbart,1,31.15,13.7
"On Monday, the Grammy-winning crooner and left-wing agitator tweeted to her 81 million followers a graphic of the coalition with a caption demanding, “Change in the music industry begins now.”",breitbart,1,31.15,13.7
"Yet the gender ideology is rapidly gaining power, aided by huge donations from wealthy individuals and medical companies.",breitbart,1,31.15,13.7
"Now today, the San Francisco mindset is still, shall we say, peculiar. It’s a city, after all, where old-money trust-fund types, addled with guilt, have joined with nouveaux riche tech tycoons to create a bizarre overclass ideology that’s a part Karl Marx, one part MSNBC, one part Michel Foucault, and maybe even a little bit of Ayn Rand.",breitbart,1,31.15,13.7
"In stark contrast to the arrests of peaceful anti-lockdown protesters in Hyde Park the day before, the Metropolitan Police took no actions to stop the left-wing demonstration that lasted well into the evening and spanned several miles of the city.",breitbart,1,31.15,13.7
Tuesday’s fundraiser was hardly the first time that Biden has made false accusations that Trump is sympathetic toward antisemitism.,breitbart,1,31.15,13.7
"President Trump warned us “when the looting starts the shooting starts,” and, tragically, that is exactly what has happened.",breitbart,1,31.15,13.7
"Last summer, Romney criticized President Trump’s response to violence in Charlottesville, accusing him of moral equivalence between neo-Nazis and those opposing “racism and bigotry” — but without noting that the latter had disrupted a lawful, permitted protest.",breitbart,0,31.15,13.7
"On July 15, New York City cops were bloodied in broad daylight by assailants who know that Mayor Bill De Blasio shares their dislike for the police.",breitbart,1,31.15,13.7
"And rather than falter or die of old age, the expansion has continued through Trump’s first three years in office, giving him a trump card in the campaign to win a second term in November.",breitbart,1,31.15,13.7
"Dozens of protesters took part in the protest on Tuesday, marching along the main streets of Thessaloniki after gathering at a statue of Eleftherios Kyriakou Venizelos, a former prime minister of Greece who was a prominent leader in the Greek national liberation movement.",breitbart,0,31.15,13.7
"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women’s sports.",breitbart,1,31.15,13.7
"In the latest horrifying killing in gun-free Britain, a man was slashed to death with a machete on the streets of Wolverhampton, England on Monday.",breitbart,1,31.15,13.7
Rowling added that the current regime of trans extremists are far more misogynistic than any old time sexists have ever been.,breitbart,1,31.15,13.7
Many people have sought to fetishise Britain’s health bureaucracy as the nation’s saviour during this crisis.,breitbart,1,31.15,13.7
