text,label,source,reliability,bias,source_bias,date
Dan Johnson suicide: Lawmaker accused of molesting teen killed himself. His widow calls it a 'high-tech lynching.',0.7272727272727273,washington-post,38.8,-6.85,left-center,2017-12-15
LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon.,0.36363636363636365,washington-post,38.8,-6.85,left-center,2017-12-15
It appeared to be a goodbye.,0.7272727272727273,washington-post,38.8,-6.85,left-center,2017-12-15
"In it, he denied the accusations that had tormented him and his family for the past 48 hours - that he, a Kentucky state representative and the self-proclaimed ""Pope"" of his Louisville church - had gotten drunk and molested a 17-year-old girl during ",0.5454545454545454,washington-post,38.8,-6.85,left-center,2017-12-15
"""GOD knows the truth, nothing is the way they make it out to be,"" he wrote in the since-deleted post.",0.36363636363636365,washington-post,38.8,-6.85,left-center,2017-12-15
"""I cannot handle it any longer .",0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"BUT HEAVEN IS MY HOME.""",0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"Johnson then drove to a graffiti-covered bridge outside of Mount Washington, Ky., a quiet and isolated spot called the River Bottoms.",0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"He parked, got out of his car, and shot himself with a .40-caliber handgun, according to Bullitt County Sheriff Donnie Tinnell.",0.36363636363636365,washington-post,38.8,-6.85,left-center,2017-12-15
"The apparent suicide of a well-known local Republican here was another dark and dramatic turn in the nation's recent reckoning with sexual assault and harassment, with near-daily revelations about powerful men leading to sudden falls from positions o",0.6363636363636364,washington-post,38.8,-6.85,left-center,2017-12-15
"Many of those cases have led to denials, resignations, apologies; though Johnson denied the allegations, some believe they pushed him over the edge.",0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"Johnson's wife, Rebecca, announced Thursday that she plans to replace him in the state legislature.",0.36363636363636365,washington-post,38.8,-6.85,left-center,2017-12-15
"She spent the day at a funeral home arranging her husband's service, consoling her relatives and continuing to do what she does best - fighting for her family, said David Adams, a family friend and spokesman.",0.5454545454545454,washington-post,38.8,-6.85,left-center,2017-12-15
"""Dan is gone but the story of his life is far from over,"" Rebecca Johnson said through Adams.",0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day.",0.6363636363636364,washington-post,38.8,-6.85,left-center,2017-12-15
"I've been fighting behind my husband for 30 years and his fight will go on.""",0.6363636363636364,washington-post,38.8,-6.85,left-center,2017-12-15
"Johnson's death shook his family, friends, constituents and members of his church, with Kentucky's political elite immediately expressing their sadness.",0.5454545454545454,washington-post,38.8,-6.85,left-center,2017-12-15
Gov.,0.2727272727272727,washington-post,38.8,-6.85,left-center,2017-12-15
"Matt Bevin (R) wrote on Twitter: ""My heart breaks for his family   May God indeed shed His grace on us all"" and Sen. Rand Paul (R-Ky.) said in a tweet: ""I cannot imagine his pain or the heartbreak his family is dealing with.""",0.45454545454545453,washington-post,38.8,-6.85,left-center,2017-12-15
"[White House urges Roy Moore to concede, as supporters look for evidence of 'voter fraud']",0.5454545454545454,washington-post,38.8,-6.85,left-center,2017-12-15
"The tumult began Monday, when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter's friend during a sleepover in 2013.",1.0,washington-post,38.8,-6.85,left-center,2017-12-15
Kentucky lawmaker Dan Johnson killed himself after sexual assault allegations,0.6363636363636364,cnn,42.06,-6.28,left,2017-12-15
"(CNN) A Kentucky lawmaker accused of sexually assaulting a teenage girl in 2013 killed himself Wednesday, officials say, a day after he denied the allegations.",0.45454545454545453,cnn,42.06,-6.28,left,2017-12-15
"Republican state Rep. Dan Johnson was found dead of a single gunshot wound near Mount Washington, Bullitt County Coroner Dave Billings said.",0.5454545454545454,cnn,42.06,-6.28,left,2017-12-15
"Johnson drove onto a bridge in a rural area southeast of Louisville, parked and shot himself in front of his car, Sheriff Donnie Tinnell told CNN affiliate WDRB",0.2727272727272727,cnn,42.06,-6.28,left,2017-12-15
"Billings ruled Johnson's death a suicide on Thursday after an autopsy, Deputy Coroner Clayton Brunson said.",0.6363636363636364,cnn,42.06,-6.28,left,2017-12-15
"Shortly before his death, Johnson posted a rambling message on social media, denying the sexual assault allegations and urging his family to stay strong for his wife.",0.5454545454545454,cnn,42.06,-6.28,left,2017-12-15
"Relatives became concerned after seeing the post and reached out to law enforcement, who pinged Johnson's phone and later discovered his body, according to Billings.",0.36363636363636365,cnn,42.06,-6.28,left,2017-12-15
Billings said he was called to the scene around 7:30 p.m.,0.2727272727272727,cnn,42.06,-6.28,left,2017-12-15
"Authorities discovered Johnson's body in front of his truck and a 40-caliber semi-automatic handgun nearby, he said.",0.8181818181818182,cnn,42.06,-6.28,left,2017-12-15
CNN has reached out to the Bullitt County Sheriff's Office and the Kentucky governor's office but has not heard back.,0.36363636363636365,cnn,42.06,-6.28,left,2017-12-15
"His accuser said the alleged sexual assault took place in the early hours of New Year's Day in 2013 when she was 17, according to the center's explosive investigative report published Monday.",0.36363636363636365,cnn,42.06,-6.28,left,2017-12-15
"The accuser, identified as Maranda Richmond, is now 21.",0.45454545454545453,cnn,42.06,-6.28,left,2017-12-15
"She said she was staying in a living area of Louisville's Heart of Fire Church, where Johnson was pastor, when he drunkenly kissed and fondled her underneath her clothes, according to the investigative report.",0.45454545454545453,cnn,42.06,-6.28,left,2017-12-15
"The center got its hands on police documents about the accusations and interviewed Richmond, leading to its story on how Johnson allegedly forced himself on her when she was a teenager.",0.45454545454545453,cnn,42.06,-6.28,left,2017-12-15
"Johnson denied the allegations, a day after the center published its report, saying Richmond was motivated by his political opponents.",0.5454545454545454,cnn,42.06,-6.28,left,2017-12-15
"""This allegation concerning this young girl absolutely has no merit,"" he said.",0.5454545454545454,cnn,42.06,-6.28,left,2017-12-15
"""As a matter of fact, some of this I heard yesterday for the first time as I read the story.""",0.2727272727272727,cnn,42.06,-6.28,left,2017-12-15
"The same day Johnson held a news conference, Louisville detectives reopened the investigation, according to the Kentucky Center for Investigative Reporting.",0.36363636363636365,cnn,42.06,-6.28,left,2017-12-15
"Johnson posted a message on his Facebook page Wednesday evening, saying the accusations ""are false"" and ""only God knows the truth.""",0.2727272727272727,cnn,42.06,-6.28,left,2017-12-15
The post appears to have been deleted.,0.45454545454545453,cnn,42.06,-6.28,left,2017-12-15
"""GOD and only GOD knows the truth, nothing is the way they make it out to be.",0.36363636363636365,cnn,42.06,-6.28,left,2017-12-15
"Dan Johnson, Kentucky lawmaker who killed himself, claimed he raised woman from the dead",0.7272727272727273,nbc-news,43.21,-5.79,left-center,2017-12-15
"The Kentucky preacher-turned-politician who killed himself after being accused of molesting a teenager claimed he once raised a woman ""from the dead.""",0.9090909090909091,nbc-news,43.21,-5.79,left-center,2017-12-15
State Rep. Dan Johnson also declared that he watched the second hijacked plane slam into the World Trade Center from his hotel room and spent the next two weeks blessing bodies as they were removed from the ruins at a morgue he set up at Ground Zero.,0.45454545454545453,nbc-news,43.21,-5.79,left-center,2017-12-15
"Johnson also boasted about being a White House chaplain for both Bush presidents and Bill Clinton, and professed to have been a peacemaker in Los Angeles during the 1992 Rodney King riots.",0.5454545454545454,nbc-news,43.21,-5.79,left-center,2017-12-15
