text,source_party,label,source,reliability,bias
"Jingle Belle Cruise: One-hour family-friendly cruise Dec. 21-25 with carolers strolling throughout the ship, meet and greet and photos with Santa Claus, and interactive activities for the family, including cookie decorating, a balloon artist and face painter.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The sleigh was originally built around 1840 in Albany, New York, and was sold and used by other families in Pennsylvania and Indiana until Richard Rovsek, chairman of Spirit of Liberty Foundation, sourced and purchased it.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
This is the way mixologist Alicia Perry creates the holiday cocktail she has served her family for the past several years.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"He was like, ‘You don’t understand English, do you?’ My name on the cast list went from A to C cast, only because my English skills was not there.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
This year’s grants represent the highest amount of grants ever issued by the state agency.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Public comments on the notice of preparation for a draft environmental impact report for East Harbor Island redevelopment and the Topgolf project are due by Dec. 18.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
The chasm between the haves and have-nots is about to become more profound than any time in the history of the sport.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Yaacov was bitterly aware that in one cruel way, she was lucky.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Lewis had his play-calling duties ripped away by Sanders late in the season, but it’s impossible to know how much Deion’s son playing quarterback entered into a complicated relationship.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
Israel says it makes every effort to spare civilians and accuses Hamas of using them as human shields.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"21 Limitation of Liability; Disclaimers Except with respect to indemnification and confidentiality obligations, in no event will Client, on the one hand, and Publisher, any Service Provider, any Vendor and any of their respective affiliates, on the other hand, be liable to the other or any third party for any consequential, incidental, indirect, exemplary, special or punitive damages whatsoever (including damages for loss of use, revenue or profit, business interruption and loss of information or data), whether arising out of breach of contract, tort (including negligence) or otherwise, regardless of whether such damage was foreseeable and whether or not such party has been advised of the possibility of such damages.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Grand Canyon has a tough team, crazy fans and a massive homecourt advantage. So why is SDSU playing there?",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Client is responsible for the accuracy and truthfulness of all Client Material.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Conservative Prime Minister Richard Bedford Bennett first created the single-desk Canadian Wheat Board in 1935 as a last-ditch effort to appease the socialists of the country.,Left,1,alternet,32.71,-14.76
"Share this - Copied Vermont flooding compared to Tropical Storm Irene Vermont’s governor said last night that some parts of the state had seen flooding worse than in 2011 during Tropical Storm Irene, a historic storm that destroyed bridges, homes and roads.",Left,1,alternet,32.71,-14.76
About three-in-ten (28%) point to their religious views and about two-in-ten (22%) say knowing someone who is transgender has influenced their views at least a fair amount.,Left,0,alternet,32.71,-14.76
"He’s a learned giant - his father requires him to read 10 hours a day - but he’s also electrified by screens, parroting lines from his favorite reality-TV shows.",Left,1,alternet,32.71,-14.76
Karen Bass: The California congresswoman and head of the Congressional Black Caucus might be the most outspoken Trump critic on this list in recent weeks - perhaps suggesting she’s angling for the job.,Left,1,alternet,32.71,-14.76
"Flemming, in an article published on October 9 , explains, ""So far, a judge has ruled that, under the city's rent stabilization ordinance, he has no legal reason to evict her.",Left,0,alternet,32.71,-14.76
Then there is the sheer number of cities and farms that are sucking down water.,Left,0,alternet,32.71,-14.76
"Rep. Mike Johnson, R-La., speaks after he was chosen as the Republicans latest nominee for House speaker at a Republican caucus meeting at the Capitol in Washington, Tuesday, Oct. 24, 2023.",Left,0,alternet,32.71,-14.76
"All too many of us now have the urge to use name-calling, violent social-media posts, threats, baseball bats , and guns to do what we once did with persuasion and voting.",Left,1,alternet,32.71,-14.76
"Dietl, who was booted as a Fox contributor in 2016, offered up an olive branch tweet to new Fox boss Lachlan Murdoch.",Left,0,alternet,32.71,-14.76
A common thread in Wednesday’s statements was the trauma and post-traumatic stress disorder many still battle as a result of the shooting.,Left,0,alternet,32.71,-14.76
Fauci says a lot of the confusion of the pandemic had to do with the surprising nature of the SARS-CoV-2 virus itself.,Left,0,alternet,32.71,-14.76
"Over the last three years, Trump, his allies and other Republican figures have offered a wide-ranging and inconsistent set of interpretations of what transpired on Jan. 6.",Left,0,alternet,32.71,-14.76
John Kerry continues to insult every American who works hard to put food on the table.,Lean Right,1,boston-herald,36.31,9.68
Sal Giarratani East Boston Energy independence The OPEC oil ministers and allied producers including Russia have decided to cut the production of oil by 2 million barrels per day.,Lean Right,0,boston-herald,36.31,9.68
"One proposal would charge the lowest-income users a fixed $15 a month (Edison and PG&E) or $24 (SDG&E), while the highest-income users would pay $85 a month (Edison), $92 (PG&E) or $128 (SDG&E).",Lean Right,0,boston-herald,36.31,9.68
"When it came to Israeli women raped on Oct. 7, feminist leaders and organizations have either mumbled meaningless platitudes about how sexual violence is never favored, or stayed silent.",Lean Right,1,boston-herald,36.31,9.68
It has an electric battery - and a 27-gallon gas tank.,Lean Right,0,boston-herald,36.31,9.68
Even worse than lax application of U.S. immigration laws are consistent efforts to reward immigration law breakers.,Lean Right,1,boston-herald,36.31,9.68
A Utility Tax does not fix that underlying problem because it just rearranges who pays what - harming millions of working-class people in the process.,Lean Right,1,boston-herald,36.31,9.68
"In a statement shared by the Essex DA, Kenney’s family said they are focused on his wife and children as they process his sudden loss.",Lean Right,0,boston-herald,36.31,9.68
"Then, if they also lost out on Yamamoto, they may find themselves empty-handed and suddenly facing a heavily depleted pitching market.",Lean Right,0,boston-herald,36.31,9.68
"Garth Fry prepares gallery lights for the Paul McCartney Photographs 1963-64: Eyes of the Storm exhibit at the Chrysler Museum on Dec. 1, 2023 in Norfolk, Virginia.",Lean Right,0,boston-herald,36.31,9.68
"In a playoff-like atmosphere, the C’s couldn’t get the job done on Monday night in Indiana.",Lean Right,0,boston-herald,36.31,9.68
"At 24, no stranger to heartache and trauma, she is still an adolescent.",Lean Left,1,the-guardian,40.67,-7.97
"He tells us how the food scene is developing in St Leonards, with a clutch of cocktail bars, cafés and restaurants popping up since the end of the pandemic.",Lean Left,1,the-guardian,40.67,-7.97
"That treasure-hunt mentality is still alive on the internet: finding 360p bootleg videos on YouTube, exchanging secret links.",Lean Left,1,the-guardian,40.67,-7.97
"No intellectual work is required to appreciate this critique of the means of art-world production, and indeed very little appears to have gone into it in the first place.",Lean Left,1,the-guardian,40.67,-7.97
"We often know what we are doing and why - and if we’re not that happy with the why of it all, we keep doing it anyway, allergic as we are to saying no.",Lean Left,1,the-guardian,40.67,-7.97
"Reducing our carbon emissions will also reduce our impact on nature, so we also intend to incorporate biodiversity into our emissions reduction plan.",Lean Left,0,the-guardian,40.67,-7.97
"Photograph: Alamy A rich and capacious combination of 19th-century letters, poems, fables and journals, all contained within the apparently orthodox setting of a modern literary detective novel, it was the book in which her exhilarating genius at last came into its own.",Lean Left,1,the-guardian,40.67,-7.97
"Given the lack of power and connectivity, even the most assiduous would struggle to keep up with complex and fast-changing instructions - and this is a hungry, exhausted, grieving and traumatised population, many of whom have already moved multiple times.",Lean Left,1,the-guardian,40.67,-7.97
It is rarely the case that writers who are at ease in what has been described as the big baggy novel are also adept in this very different and extremely demanding form.,Lean Left,0,the-guardian,40.67,-7.97
