text,source,label,reliability,bias
The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).,reuters,0,45.18,-1.17
"The origins of gay pride parades lie in riots against police brutality in 1969 in New York City, they said, and now cities are filled with protesters outraged over the death of Floyd, an unarmed black man who died in police custody in Minneapolis.",reuters,0,45.18,-1.17
"Biden’s new, 12-page policy plan proposes financing for its recommendations, including funneling more money to regions with high poverty rates and pushing the United States to net-zero greenhouse emissions by 2050, by raising corporate taxes and ending subsidies for fossil fuels.",reuters,1,45.18,-1.17
Republican senators returned to Washington on Monday following a 10-day holiday recess still at odds with one another over legislation President Donald Trump wants passed to repeal major portions of Obamacare.,reuters,0,45.18,-1.17
"There has been a surge in homophobic and transphobic commenting on social media in recent days, which included describing LGBT people as from “hell” and calling for them to be killed, according to Wilde.",reuters,0,45.18,-1.17
"Police identified the shooter as Anthony Ferrill, 51, an employee of the brewery, who was believed to have acted alone.",reuters,0,45.18,-1.17
Trump has been criticized for cozying up to autocratic leaders such as North Korea’s Kim Jong Un and Russia’s Vladimir Putin.,reuters,0,45.18,-1.17
A senior Democrat on a congressional panel seeking President Donald Trump’s tax returns warned on Saturday that the current Congress may not see the long-sought tax documents without launching an impeachment inquiry.,reuters,0,45.18,-1.17
"“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.",reuters,0,45.18,-1.17
"In New York, a mother-to-be faces childbirth without her husband, in Texas, hundreds of women seeking abortions are turned away, across the country, women are facing postponed mammograms and devastated by suspended fertility treatments.",reuters,0,45.18,-1.17
"Trump sought to use the event to bring momentum back to his campaign after coming under fire for his responses to the coronavirus and to the death of George Floyd, a Black man who died in the custody of Minneapolis police.",reuters,0,45.18,-1.17
"Trump’s approval rating remains resilient at around 40%, with a large majority of Republicans still approving of his overall performance. But sustained pessimism among Trump’s supporters could portend potential weakness ahead of November’s election, when he will face Democratic former Vice President Joe Biden, experts said.",reuters,0,45.18,-1.17
"U.S. prosecutors on Friday unveiled charges against 18 Portland, Oregon protesters ranging from assaulting police to arson and trespassing, a day after the Trump administration expanded the deployment of tactical police to Seattle.",reuters,1,45.18,-1.17
"Shares of gun makers have been gaining ground as Democratic candidate Joe Biden leads polls, and if he wins the presidential election in November there are expectations of a renewed surge in gun sales that could drive shares even higher.",reuters,0,45.18,-1.17
"Armed police supporters and anti-racism demonstrators clashed in Louisville on Saturday before the Kentucky Derby horse race, while Rochester police used tear gas to disperse protesters, as discord in cities across the United States continued to simmer.",reuters,1,45.18,-1.17
Anti-racism activists poured red paint on a statue of an Italian colonial-era general and pasted over the name of a street in Rome on Friday to show solidarity with the Black Lives Matter movement in the United States.,reuters,0,45.18,-1.17
"O’Rourke, a native of the U.S.-Mexican border town El Paso, has blasted Trump’s use of tariffs as a “huge mistake” and has vowed to suspend them on his first day in office.",reuters,1,45.18,-1.17
U.S. President Donald Trump said on Wednesday a tax cut for the middle class would be announced over the next 90 days.,reuters,0,45.18,-1.17
"In his brief three-month campaign for president, Michael Bloomberg poured nearly three-quarters of a billion dollars into building an advertising and data-mining juggernaut unlike anything the political world had ever seen.",reuters,0,45.18,-1.17
"The Trump administration anticipates launching a far-reaching promotions campaign by November to encourage Americans to get vaccinated against the coronavirus, contingent on evidence that a successful vaccine will be available roughly by year end, a senior administration official said.",reuters,0,45.18,-1.17
"Healthcare workers and first responders who are at the highest risk of contracting COVID-19 should be at the front of the line for vaccines when they become available, an independent expert panel tapped by top U.S. health officials said on Tuesday.",reuters,0,45.18,-1.17
There were some shouting matches and scuffles outside the event between around 30 Black Lives Matter demonstrators and some Trump supporters waiting to enter.,reuters,0,45.18,-1.17
"Although in part a celebration, the day is also observed solemnly to honor those who suffered during slavery in the United States with the arrival of the first enslaved Africans over 400 years ago.",reuters,0,45.18,-1.17
"Firearm sales surged anew in 2020 due to fears related to the pandemic, and following social unrest in several U.S. cities and calls to defund police departments.",reuters,0,45.18,-1.17
But there was no sign that any gun legislation approved by the Democratic House majority would gain traction in the Republican-controlled Senate,reuters,0,45.18,-1.17
Manchester City manager Pep Guardiola said white people should apologise for the treatment of black people on a night when Premier League players wore the slogan “Black Lives Matter” on their shirts.,reuters,0,45.18,-1.17
"Two Republican state attorneys general on Monday urged a federal appeals court to uphold the Obamacare federal healthcare law, saying that striking it down would be disruptive for patients, doctors, insurers and employers.",reuters,0,45.18,-1.17
"Major U.S. airlines warned on Wednesday that travel demand will continue to languish until there is a widespread COVID-19 vaccine, while awaiting developments in Washington on additional federal aid.",reuters,0,45.18,-1.17
"U.S. Democratic presidential candidate Joe Biden would use taxes on the wealthy and corporations to pay for $3.2 trillion in promised investment in infrastructure, higher education and healthcare, according to an outline of his plans if he captures the White House.",reuters,0,45.18,-1.17
