text,source_party,label,source,reliability,bias
Shrapnel in other sports has become the emotionless cost of doing business.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"The price range last season was $250 to $1,500 in those same areas.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Images of a White House makeover might be too painful for a fragile ego to bear.,Left,1,alternet,32.71,-14.76
"Clearly, for African Americans to affirm those kinds of statements about Christian nation, Christian values, Christian heritage, they don’t think nostalgically for a better time.",Left,1,alternet,32.71,-14.76
"The easiest way to think about the change is like this: Under the old method, the utility collected $100.",Lean Right,0,boston-herald,36.31,9.68
"Rightmove, a website which advertises properties being sold by 90% of UK estate agents.",Lean Left,0,the-guardian,40.67,-7.97
Seeing that halfwit Liz Truss on Tuesday was the final straw.,Lean Left,1,the-guardian,40.67,-7.97
"No intellectual work is required to appreciate this critique of the means of art-world production, and indeed very little appears to have gone into it in the first place.",Lean Left,1,the-guardian,40.67,-7.97
"Now Democrats are back to eyeing Cheney warily, in no small part because they believe an independent run, even by someone as unpopular as Cheney, would take votes away from President Joe Biden in the general election.",Right,1,townhall,24.95,19.79
The numbers are so clear that they simply beg for a second Trump term.,Right,1,townhall,24.95,19.79
"This means that if the dealers received no additional cars from manufacturers, they could keep selling cars for that number of days before running out.",Right,0,townhall,24.95,19.79
"Recall the humility of Ronald Reagan, and his ability to take responsibility.",Right,1,townhall,24.95,19.79
Why did the Japanese even bomb Pearly Harbor in the first place?,Right,0,townhall,24.95,19.79
"Facts from real experts, not more militancy, is what we need.",Right,1,townhall,24.95,19.79
"Israel's open negotiation with a terrorist organization, even if conducted via American and Qatari intermediaries, necessarily incentivizes more future hostage-taking and exacerbates the peril for IDF soldiers in Gaza.",Right,1,townhall,24.95,19.79
"Borgata: Best mobile casino One of the best legal online casinos in Pennsylvania Also has Sports Betting, Virtual Sports, Poker, and Bingo Play to win daily, life-changing progressive jackpots ($1M+) Well over 50+ impressive Evolution Gaming live dealer casino games Free $25 no deposit chip + up to $1,000 for new members Overview Borgata online casino is one of the best Pa online casinos for mobile casino apps.",Right,0,newsmax,28.9,13.54
That prompted a running joke: who was the first person to land on the moon?,Right,0,newsmax,28.9,13.54
Then there was Pepe LePew’s unwanted kissing and fondling lavished upon unsuspecting felines.,Right,1,newsmax,28.9,13.54
Turning points or inflection moments are common focuses in this week’s Newsmax’s Rising Bestsellers.,Right,0,newsmax,28.9,13.54
"Rather than remain pawns and martyrs exploited by zealots, Nazis and Communists, their existence could radically improve under peaceful integration with Israel.",Right,1,newsmax,28.9,13.54
"Over the weekend, border-policy negotiations between Senate Democrats and Republicans fell apart.",Right,0,infowars,15.78,23.58
"In that case, two names that are often mentioned as candidates are the current Commander-in-Chief of the Armed Forces, Valery Zaluzhny, and Zelensky’s former advisor, Oleksiy Arestovych.",Right,0,infowars,15.78,23.58
"A guarantee that Ukraine will remain neutral and not join NATO, a guarantee that NATO won’t turn Ukraine into an armed anti-Russian bridgehead on its border, and assurances of protection of the rights of Russian speaking Ukrainians have all been consistently on that list.",Right,1,infowars,15.78,23.58
"What would it mean for the country’s democracy to re-elect a man who governed as Mr Trump did, who was impeached twice by the House of Representatives-and who tried to overturn the result of the last election?",Lean Left,1,the-economist,42.4,-1.43
"This idea is supported by the fact that industrial productivity growth has slowed across the rich world, even if not by as much as in America (see chart 2).",Lean Left,0,the-economist,42.4,-1.43
"He was accused of selling military secrets to Germany, France’s hated foe, in a case marked by faked evidence and an explosion of antisemitism sparked by rage over Jews’ supposed disloyalty to France.",Lean Left,1,washington-post,38.8,-6.85
KORNBLUTH: I’ve heard chants which can be antisemitic depending on the context when calling for the elimination of the Jewish people.,Lean Left,1,washington-post,38.8,-6.85
