text,source_party,label,source,reliability,bias
AN UNPRECEDENTED TOLL: he fighting has meanwhile brought unprecedented death and destruction to the coastal strip.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"That however, shows how much the bowl system has been gutted by the College Football Playoff system.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"If Client rejects a deliverable and explains to Union-Tribune how it does not meet the specifications, Union-Tribune will revise it and redeliver.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Donald Parham dropped a huge, easy catch that could have ended things.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Bergmann said his department is already working on implementation of CA Bridge, a statewide program launched in 2018 that seeks to expand medication availability for addiction treatment to emergency departments.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Enjoy a game truck, bounce house, arts and crafts, rock climbing and live music.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Advertisement The proposed changes to Complete Communities Housing Solutions are a bad deal for San Diego.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"The event features boutique shopping, silent auction, luncheon and fashion show.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Last week, the Saugus Police Department announced charges against 32-year old Rosaria Sophia McCauly of North Reading - two counts of assault and battery with a dangerous weapon (to wit glass bottle) and disorderly conduct.",Lean Right,0,boston-herald,36.31,9.68
But the Union shifted to full aggression mode with two strategic substitutions in the 67th minute.,Lean Right,0,boston-herald,36.31,9.68
It has an electric battery - and a 27-gallon gas tank.,Lean Right,0,boston-herald,36.31,9.68
"Her doctor in Pakistan has advised that she follows a specific diet, which is unaffordable and unavailable to her.",Lean Left,0,the-guardian,40.67,-7.97
"It was a conscious choice, Osborne told guests, precisely because of the sculptures’ controversial status.",Lean Left,0,the-guardian,40.67,-7.97
"The individual moment, for sheer creepiness, that has stayed with me since, is a bit near the start of The Omen, when the nanny jumps off the roof with a noose around her neck to make way for replacement Billie Whitelaw.",Lean Left,1,the-guardian,40.67,-7.97
"Physiocrats proposed the rational resolution of the nation’s economic woes as those problems drove a vast, unruly underclass to riot for bread.",Lean Left,0,the-guardian,40.67,-7.97
"The normalization-that is to say, the currency, for there is nothing normal about it-of transexualism and attendant phenomena from the Baedeker of Kraft-Ebbing might make for a pandering line in Joe Biden’s State of the Union Address.",Right,1,american-greatness,18.93,22.45
"In a way, the work of Richard Weaver is not unlike the Old South he memorialized.",Right,1,american-greatness,18.93,22.45
"Obviously, her objective is to put fear into Americans so that they will never again protest Democrat election fraud, which will undoubtedly occur in 2024.",Right,1,american-greatness,18.93,22.45
King’s communist associates certainly had some impact on him such as when he made a speech that parroted the communist Viet Cong propaganda line regarding the Vietnam war.,Right,1,american-greatness,18.93,22.45
"Meanwhile, in Ithaca, the 108 suitors who have made themselves free as guests in Odysseus’ home mistreat everyone and are not, in their turn, particularly gracious to any strangers who show up there.",Right,0,american-greatness,18.93,22.45
The cowardly murderers proudly filmed their atrocities and then fled back to Gaza-to cheers from the Gaza street.,Right,1,american-greatness,18.93,22.45
"Rather than taming this insane fiscal profligacy, Biden and his willing GOP allies on the Hill, like Mitch McConnell, simply pretend that the crisis-level binge can continue, and even accelerate.",Right,1,american-greatness,18.93,22.45
"And almost all of California leftwing politicians are funded or influenced by Silicon Valley-the richest corridor in civilizational history, with $9 trillion in market capitalization.",Right,1,american-greatness,18.93,22.45
"In August, Chinese Coast Guard (CCG) ships, the size of PLA Navy (PLAN) destroyers, fired water-cannon at much smaller Philippine resupply boats for their sailors stationed aboard the ground WWII-era amphibious ship Sierra Madre at Second Thomas Shoal in the South China Sea.",Right,0,american-greatness,18.93,22.45
"A contributing factor, of course, was Foxx’s obsession with dropping charges against 30 percent of felony defendants in 2020.",Right,1,american-greatness,18.93,22.45
Why should an unwilling worker be dragged into a collective bargaining agreement?,Right,1,american-greatness,18.93,22.45
"It has nuclear weapons, generous backers, and a technologically advanced first world military.",Right,0,american-greatness,18.93,22.45
"Consequently he who moulds public sentiment, goes deeper than he who enacts statutes or pronounces decisions.",Right,0,american-greatness,18.93,22.45
"But, an oppressive government is more to be feared than a tiger.",Right,0,townhall,24.95,19.79
Hard-working Americans across the country deserve better than the failed leadership from the Biden Administration.,Right,1,townhall,24.95,19.79
"They use the idea of Muslim solidarity only when it suits them.""",Right,1,townhall,24.95,19.79
"When Garland did get to the topic at hand, however, his comments spoke to a one-sided priority.",Right,1,townhall,24.95,19.79
"Being a slave to lust and licentiousness, or any vice, is not freedom.",Right,1,townhall,24.95,19.79
"That's not easy, but it is the only way forward for Israel, is the only way forward for long-term peace.""",Right,0,townhall,24.95,19.79
"Still, Christie and Ramaswamy’s melee paled in comparison to the repeated attacks on Nikki Haley, which, to her credit, didn’t rattle her to the point where she suffered a meltdown.",Right,1,townhall,24.95,19.79
It was brutal the way that Ron DeSantis utterly dismantled the human hairstyle masquerading as my governor the other day.,Right,1,townhall,24.95,19.79
Most of them (though not all) were believers in the Christian religion.,Right,0,townhall,24.95,19.79
"Donald Trump would sit down with almost anyone - as President, honestly, he gave too many interviews to hostile outlets like the New York Times while ignoring conservative outlets.",Right,1,townhall,24.95,19.79
"Israel, which so greatly values human life that it once infamously bartered over (SET ITAL) 1,000 (END ITAL) terrorists in exchange for captured soldier Gilad Shalit, is all but forced to go along.",Right,1,townhall,24.95,19.79
"He shuttered thousands of businesses permanently by determining who was deemed essential from earning a living and who wasn’t, as well as who could open their doors to patrons and who couldn’t.",Right,1,townhall,24.95,19.79
"Moderator Sean Hannity kept asking them not to interrupt and for a short time they behaved, but then couldn't help themselves and reverted to what used to be called rudeness.",Right,1,townhall,24.95,19.79
"Pity, too, the replaced worker who, booted from his qualifications, will never attain his or her potential.",Right,1,townhall,24.95,19.79
Among the sources for drinking water in Gaza are purification plants that have been recently disabled.,Right,0,townhall,24.95,19.79
"Instead, the Pope should be focused on saving the souls of the faithful, growing Church attendance and donations for worldwide missions, dealing with the damaging pedophilia scandal, and recruiting devout people to join the clergy and laity to ensure the future survival of the Catholic Church.",Right,1,townhall,24.95,19.79
The Quest for Power Why does the Left want to replace native populations with migrants from around the world?,Right,1,townhall,24.95,19.79
But let’s assume Trump keeps his lead and wins the nomination.,Right,0,townhall,24.95,19.79
"These men have been, and some still are, instrumental in my development as a soldier, tactician, and leader.",Right,0,townhall,24.95,19.79
The Council on American-Islamic Relations has been known to be an ally of Hamas as well.,Right,1,townhall,24.95,19.79
She points out that India and Nepal have already banned the platform.,Right,0,townhall,24.95,19.79
"As a result, although the number and Case 1:22-cv-00986-GTS-CFH Document 78 Filed 11/07/22 Page 138 of 184.",Right,0,townhall,24.95,19.79
"An Israeli medic said: ""There was a liquid on her back that looked like semen.",Right,0,townhall,24.95,19.79
But wiping Ukraine off the face of the map has not.,Right,1,infowars,15.78,23.58
"Ukraine’s allies fear the move could create a pretext for a new, dangerous stage in the war.",Right,0,infowars,15.78,23.58
"Yes, if anything, many neighborhood groups and municipal governments are antigrowth.",Right,1,infowars,15.78,23.58
"Cameras were rolling Tuesday when the mayor of Montreal, Canada, Valérie Plante, dramatically collapsed during a press conference.",Right,0,infowars,15.78,23.58
"Now, therefore, is the time to think realistically about what a diplomatic solution might actually look like.",Right,0,infowars,15.78,23.58
Gaines’ commentary on the subject comes from experience as she competed against infamous NCAA biologically male transgender UPenn swimmer Lia Thomas while on the University of Kentucky’s swim team.,Right,0,infowars,15.78,23.58
"It is now clear, because of their own testimony, that Germany, France and Ukraine used the Minsk negotiations as a deception to buy time for Ukraine to build an armed forces capable of achieving a military solution to the Donbas.",Right,1,infowars,15.78,23.58
"It has not seen Russia’s militarily weakened, a goal Defense Secretary Lloyd Austin identified.",Right,1,infowars,15.78,23.58
"In 1931, with Hoover in office, the President’s Conference on Homebuilding and Home Ownership lobbied intensely for establishing institutions that would be the beginning of government’s direct involvement in mortgage finance: the Federal Home Loan Bank System, the Federal Housing Association, and a number of other federal housing programs.",Right,0,infowars,15.78,23.58
There are thus three specific points of contention that need to be resolved.,Right,0,infowars,15.78,23.58
Yet outsiders have registered claims inside it and at others nearby.,Lean Left,0,the-economist,42.4,-1.43
"And in some cases, that company has a sister company that specializes in design-build (DB) contracting.",Lean Right,0,reason,36.26,4.84
"Billions of dollars of shareholder value have been razed, and it's all due to the decisions made by the top leaders of the company,"" Frericks criticized.",Lean Right,1,fox-business,38.81,9.11
Here you have American farmers losing their farms and right here in the United States with this.,Lean Right,1,fox-business,38.81,9.11
The Maud Foster Windmill is over 200 years old - and dominates the skyline over the Lincolnshire market town of Boston in the U.K.,Lean Right,0,fox-business,38.81,9.11
The president has already added more than $400 billion in costs to businesses and consumers through red tape - an enormous drag on the economy.,Lean Right,1,fox-business,38.81,9.11
"During the third quarter, Spotify turned a profit, growing its number of subscribers in all regions.",Lean Right,0,fox-business,38.81,9.11
"No votes were taken Thursday, as the meeting was more of a symbolic gesture to bring the initiative back into the spotlight.",Lean Right,0,fox-business,38.81,9.11
"Online transactions totaling $600 or more will not trigger tax reporting on Form 1099-K, for now.",Lean Right,0,fox-business,38.81,9.11
It is available in some premium areas and not allowed to be taken outside those areas.,Lean Right,0,fox-business,38.81,9.11
"Bob Vila, famous for his expertise in home improvement, and his wife Diana Barrett’s Florida house is reportedly up for sale for tens of millions of dollars.",Lean Right,0,fox-business,38.81,9.11
"CLICK HERE TO READ MORE ON FOX BUSINESS Upscale restaurants and home décor brands are also developing residences in Miami, including Cipriani, Casa Tua and Baccarat.",Lean Right,0,fox-business,38.81,9.11
"Chicago’s newly elected mayor, Brandon Johnson - who was backed by the Democratic Socialists of America during his campaign - expressed support for the proposal.",Lean Right,0,fox-business,38.81,9.11
Four male victims in their 20s and a 19-year-old female victim all suffered non-life-threatening injuries.,Lean Right,0,fox-business,38.81,9.11
"When he settled into the company after joining in 2011, Frericks claimed he started seeing the shift away from fiscal priorities to political ones.",Lean Right,0,fox-business,38.81,9.11
"Export controls require companies to obtain a license from federal agencies to sell covered products overseas, effectively giving the government a veto over the transaction.",Lean Right,0,fox-business,38.81,9.11
"Double-tap to switch tools and wireless pairing and charging aren’t built into it, either.",Lean Right,0,fox-business,38.81,9.11
"Colleges used to be a place where you would get a degree, and that would only enhance an effective human being, an already effective human being.",Lean Right,1,fox-business,38.81,9.11
"Personal loan interest rates edged up over the last seven days for 3-year personal loans, but decreased for 5-year personal loans.",Lean Right,0,fox-business,38.81,9.11
"They're the ones that are sometimes having some issues with some of the safety features.""",Lean Right,1,fox-business,38.81,9.11
11:12 Canada is ‘a haven for Islamic Republic agents’ warns Iranian human rights activist Prominent Iranian American journalist and human rights activist Masih Alinejad tells The New Reality she was given a bone-chilling warning from the FBI: don’t travel to Canada.,Lean Left,1,global-news,44.54,-4.26
The 2017 Canadian Survey on Disability found more than six million Canadians age 15 and over - 22 per cent of the population - identify as having a disability.,Lean Left,0,global-news,44.54,-4.26
"Granted, this interactive baby teether is really for parents and grandparents to giggle over.",Lean Left,1,global-news,44.54,-4.26
"But the plane began rolling on its own, right over the chocks, and its nose collided with the hangar wall while the right engine of the aircraft hit a tow tractor inside the hangar.",Lean Left,0,global-news,44.54,-4.26
"Story continues below advertisement On Saturday, a woman in Mexico was found dead after an apparent shark attack in Melaque Bay.",Lean Left,0,global-news,44.54,-4.26
