text,source_party,source_name,label,sentence_id,source,reliability,bias
"Add in Ben Stiller’s disorienting direction and at least two episodes with heart-in-the-mouth climaxes, and it’s easily one of the most impressively distinctive shows to emerge this year.",Lean Left,the-guardian,0,c1feddee-716d-4c72-881e-071bbde8a172,the-guardian,40.67,-7.97
It is slated to roll out in April 2024 and will match existing federal seniors’ benefits.,Lean Left,the-conversation,0,fe42cd84-e0ad-4fde-8e98-85b3844093fc,the-conversation,40.75,-4.86
"Still, certain agricultural practices can sequester additional carbon in the soil.",Lean Left,the-conversation,0,c71dee34-ec8a-4b51-9e69-28e9e38b7464,the-conversation,40.75,-4.86
"But no, I’m very happy for him, he’s very young and he’s been picked for such a big thing.",Lean Left,the-independent,1,1988d191-74e4-4cc8-9d4b-14316f222e60,the-independent,38.37,-6.99
Fox News Special Report named climate change nine times-but almost always in the context of attacking a Democratic statement or action to address it.,Lean Left,fair,1,17f6bb23-025e-41a3-8915-d8d6992af460,fair,32.6,-19.36
"Photograph: Universal Pictures/Allstar A tremendously good comic turn is what Wilson delivers in this broad comedy, remade from a 90s indie.",Lean Left,the-guardian,1,369cddac-729b-4029-8885-4af54d26fa46,the-guardian,40.67,-7.97
"In this album’s spunkiest or scream-iest moments, you get the satisfying rush of what it might feel like if Taylor Swift decided to not just befriend but be Paramore for a day.",Lean Left,variety,1,5eb412ae-943a-4a2a-b698-0a6f4559f01b,variety,41.29,-3.85
"The devices, including the popular DreamStation for sleep apnea, went to children, the elderly and veterans before the global giant announced a massive recall.",Lean Left,propublica,0,8f331b48-3109-478e-a30c-413497d66062,propublica,47.17,-6.77
"Mr Buthelezi spent much of his time curating his reputation, relying heavily on the IFP -owned Ilanga lase Natal, the oldest Zulu newspaper, to pay him due respect.",Lean Left,the-economist,1,2397578c-3d5c-4de8-8a50-222d7fa3c382,the-economist,42.4,-1.43
And she's been focused and determined in a way that folks thought you would -- they would say that about Ron DeSantis.,Lean Left,pbs-newshour,1,3238352a-b5b8-486b-9842-4a92e33996fc,pbs-newshour,43.07,-9.07
And listen to Pop Culture Happy Hour on Apple Podcasts and Spotify.,Lean Left,npr,0,4119298b-b306-42dc-b0e1-081f36746998,npr,42.99,-4.27
"As a private company, Talitrix doesn’t have to disclose who owns it and shareholder confidentiality is in its operating agreement, he said.",Lean Left,atlanta-journalconstitution,0,b390f0ec-e8df-4476-98f6-701600b2bcd7,atlanta-journalconstitution,44.83,-3.84
