text,source_party,label,source,reliability,bias
Shrapnel in other sports has become the emotionless cost of doing business.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"The menu by executive chef Gunther Emathinger features five varieties of street tacos, including smoked chicken tinga, beef barbacoa, pescado (pan-seared whitefish), pork carnitas, and vegetable.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Proceeds benefit children and adults with disabilities at The Arc of San Diego.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
The newsrooms or editorial departments of the Union-Tribune are not involved in the production of this content.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The price range last season was $250 to $1,500 in those same areas.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"The sleigh was originally built around 1840 in Albany, New York, and was sold and used by other families in Pennsylvania and Indiana until Richard Rovsek, chairman of Spirit of Liberty Foundation, sourced and purchased it.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Free family event with entertainment, performers and vendors from different cultures.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
This is the way mixologist Alicia Perry creates the holiday cocktail she has served her family for the past several years.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Start walking on the Torretto Trail, a 0.2-mile path that passes by an amphitheater and offers views of Mount Woodson in the distance.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
A 10-9 Colorado victory provided the Buffaloes with a share of the championship.,Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Donald Parham dropped a huge, easy catch that could have ended things.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
Miracle Babies Toy Drive: Local nonprofit Miracle Babies holds a toy drive to serve families with hospitalized infants through Dec. 20.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Gang members issued challenges to rivals outside of the party, according to the District Attorney’s Office.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"That later became Bekker’s Bar BQ and was run by her father, and now her mother and brother operate the business as Bekker’s Catering.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Years later, family members participating in genetic testing found they had a genetic mutation that increases the family’s risk of frontotemporal dementia.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
It meant something for a Big Ten team to play in the glow of the sunset painting the San Gabriel Mountains at the Rose Bowl or for a traditional southern power to play in the heart of Texas at the Cotton Bowl.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
Public comments on the notice of preparation for a draft environmental impact report for East Harbor Island redevelopment and the Topgolf project are due by Dec. 18.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Once sugar is completely melted, immediately stir in the butter until melted and combined.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Holiday Lights concert: The North Coast Symphony puts on its Holiday Lights concert 2:30 p.m. Dec. 9 at the Encinitas Community Center, 1140 Oakcrest Park Drive.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Extended extreme heat is having all kinds of other adverse economic impacts in the state, including on farmers whose animals and crops are being threatened by the temperatures and lack of water.",Left,0,alternet,32.71,-14.76
"Again, this is, at this moment, still speculation, in large part because the alleged conspirators have been so successful at destroying much of the evidence that might have implicated (or cleared) them.",Left,1,alternet,32.71,-14.76
"The national median price of an existing, single-family home was $300,200 last year, according to seasonally adjusted annual sales figures from the National Association of Realtors.",Left,0,alternet,32.71,-14.76
The Swedish paper Sydsvenska Dagbladet Snällposten reports at least one other demonstrator from the June harbor protest is being prosecuted.,Left,0,alternet,32.71,-14.76
"The Flint treatment plant relied on iron chloride coagulants, which may have contributed to the corrosivity of the water.",Left,0,alternet,32.71,-14.76
"More than 70% of livestock emissions are from cattle, he said.",Left,0,alternet,32.71,-14.76
Perhaps because they are not usually associated with the extension of rights to the disenfranchised -- or because American women tend not to vote the way they want -- conservatives are a little squirrely about women's suffrage.,Left,1,alternet,32.71,-14.76
"Since their start in late November, the protests have spread from the Indian capital of New Delhi to other parts of the country and garnered global attention.",Left,0,alternet,32.71,-14.76
"But these workers are seeing the strongest year-over-year pay hike, at 6.4%.",Left,0,alternet,32.71,-14.76
"In the summer of 2022, 11.5 percent of people surveyed by the Census Bureau said that people in their household sometimes or often did not have enough to eat, up from 8.2 percent the year before, a 41 percent increase.",Left,0,alternet,32.71,-14.76
This new social order is dominated by metropolitan cities of which New York is the largest and most highly developed.,Left,0,alternet,32.71,-14.76
"From Tommie’s Law to protect Virginia’s companion animals to Nosey’s Law in New Jersey to end the use of elephants, tigers and other exotic animals in circuses, individual cruelty cases gone viral are spurring lawmakers to position themselves as heroes for suffering creatures and quickly pass reforms for formerly impotent laws against abuse.",Left,1,alternet,32.71,-14.76
"USA Today Network-Florida First Amendment reporter Douglas Soule is based in Tallahassee, Fla.",Left,0,alternet,32.71,-14.76
Yet Trump should be - especially when it comes to Trump’s mental competence.,Left,1,alternet,32.71,-14.76
