text,source_party,label,source,reliability,bias
"Again, the youngsters, like Jessica Reyes, 11, and Eric Lopez, 14, showed intense interest in the stories and the art of their forebears.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"In private Facebook messages with San Marcos Mayor Rebecca Jones, he made a sexually explicit comment about her partner.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"Even though researchers may not have all of the answers, they’re working to find them.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"On a trip to Egypt, he wore his red clown nose in a crowd.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Grand Canyon has a tough team, crazy fans and a massive homecourt advantage. So why is SDSU playing there?",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Advertisement In western Mexico, forests are being razed at a breakneck pace and while deforestation in places such as the Amazon rainforest or Borneo is driven by cattle ranching, gold mining and palm oil farms, in this hot spot, it is fueled by the voracious appetite in the United States for avocados.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
And two top Cameron officials-Deputy AG Vic Maddox and deputy solicitor general for criminal appeals Jeffrey A. Cross-are accused of routine mistreatment.,Left,1,alternet,32.71,-14.76
"For some people, seeing is believing, and the circulation of videos documenting police violence is valued as a tool of accountability.",Left,0,alternet,32.71,-14.76
"The public is now very pro-union even though they don’t really know much about unions, the young people included.",Left,1,alternet,32.71,-14.76
"A lot of people, especially men, are angry about women speaking out against inequality and sexual abuse, and are ready to hear a story about how women are the true villains who need to be suppressed for the greater good.",Left,1,alternet,32.71,-14.76
"Activists, on the other hand, have said the people on board were pleading for help more than 15 hours before it sank.",Left,0,alternet,32.71,-14.76
"Tom Williams  Pool via Reuters Some of Joe Biden's allies are waging a campaign behind the scenes to stop Sen. Kamala Harris, D-Calif., from becoming his vice president.",Left,0,alternet,32.71,-14.76
The warm-hearted islanders processed them so fast that they were whisked off the island in 36 hours.,Lean Right,1,boston-herald,36.31,9.68
"Almost three decades later, Tim Smith is still completely satisfied with his tough, dependable Dodge Ram.",Lean Right,0,boston-herald,36.31,9.68
"Each of the players in that group played 27 minutes or fewer, which should have long-term benefits for the Celtics with how much they will rely on that group throughout the season, especially if they continue to pummel teams like this.",Lean Right,0,boston-herald,36.31,9.68
Rules for the disclosure of contractual and other arrangements are practically nonexistent.,Lean Right,0,boston-herald,36.31,9.68
Klinglesmith for two years helped form the state’s wolf management plan as a member of the state’s Stakeholder Advisory Group.,Lean Right,0,boston-herald,36.31,9.68
"Photograph: Samuel Gibbs/The Guardian The Ultra are Bose’s first headphones to support immersive or spatial audio, similar to the best competitors.",Lean Left,0,the-guardian,40.67,-7.97
"But are its squirm-inducing visuals - a character slurping another’s cummy bathwater, a literally cocky ending - the mark of perverse genius, or cheap, hollow tricks masquerading as it?",Lean Left,1,the-guardian,40.67,-7.97
The long war to contain Russia does not just beckon - it is already a reality.,Lean Left,1,the-guardian,40.67,-7.97
"Mainstream conservative governments in Sweden and Finland meanwhile have taken office thanks to the support of hard-right nationalists in, respectively, the Sweden Democrats and the Finns party.",Lean Left,1,the-guardian,40.67,-7.97
But capitalism and the free markets which feed it drastically up the ante.,Right,1,american-greatness,18.93,22.45
The CCP’s playbook attempts to humiliate their enemies and to accomplish this supremely by enlisting the willful participation of their enemies to engage in their own debasement.,Right,1,american-greatness,18.93,22.45
"But the charges allow Biden’s party to pretend that impartial justice is at work, and that’s what counts.",Right,1,american-greatness,18.93,22.45
"From the moment he was sworn in, Biden declared war on American energy and started pushing costly electric vehicles.",Right,1,american-greatness,18.93,22.45
"Are they quaking because of the strength we accumulate because we have access to a greater cross-section of society, as we define it?",Right,1,townhall,24.95,19.79
It's outrageous but not surprising that Israel has already borne international condemnation just for the idea of flooding the tunnels .,Right,1,townhall,24.95,19.79
"But these people would rather kill Jews than have a state, destroy Israel even if it meant that they were destroyed with it.",Right,1,townhall,24.95,19.79
"Climate Envoy John Kerry, who’s in Dubai for U.N. climate talks.",Right,0,townhall,24.95,19.79
"Born on July 27, 1922 in New Haven, Connecticut, Norman Milton Lear's most lasting creation was partly based on fact.",Right,0,newsmax,28.9,13.54
"So as filing deadlines for the early primaries fly by, Democrats are stuck with Biden this cycle.",Right,1,newsmax,28.9,13.54
"Games With over 4000 games, Bitstarz Casino boasts one of the largest libraries on the internet.",Right,0,newsmax,28.9,13.54
Nikki Haley was targeted Wednesday from the opening moments of the fourth debate for Republican presidential hopefuls as time runs out for the shrinking field to shake up a race dominated by former President Donald Trump.,Right,0,newsmax,28.9,13.54
"Instead, injured troops are often thrown into any vehicle available or leave the front on foot.",Right,1,infowars,15.78,23.58
"He wouldn’t have resisted the mandate from parliament to use military force, not just in Crimea, but in all of Ukraine.",Right,1,infowars,15.78,23.58
"Thousands of rounds of artillery are fired every week, tanks batter buildings, land mines are everywhere and drones hover overhead picking off troops below.",Right,1,infowars,15.78,23.58
"Days later, as the shock and confusion of the initial offensive began to dissipate, Ukrainian president Volodymyr Zelensky attempted to set up indirect talks with Russian president Vladimir Putin.",Right,0,infowars,15.78,23.58
"Before that, she had become the first woman majority leader of a state Senate.",Lean Left,0,the-economist,42.4,-1.43
"Instead he will have to negotiate, a skill that he lacks.",Lean Left,1,the-economist,42.4,-1.43
"Such arguments might be self-interested, but so are those of any fund manager talking up their book.",Lean Left,0,the-economist,42.4,-1.43
"Then again, after a slow start to America’s big infrastructure push, that would be a good headache to have.",Lean Left,1,the-economist,42.4,-1.43
It signed a management contract with the city government in late 2020.,Lean Right,0,reason,36.26,4.84
There's little indication she and others who presided over this disaster will do much else than continue to get paid richly and exchange back pats for their promotions within elite circles.,Lean Right,1,reason,36.26,4.84
Adults who prefer a flavored cigar are not imposing significant health or fiscal costs on non-smokers.,Lean Right,0,reason,36.26,4.84
"He was an archcritic of President Bill Clinton's intervention in Kosovo, for instance.",Lean Right,0,reason,36.26,4.84
"Advertisement The 265-mile electrified rail link between Las Vegas and Rancho Cucamonga, where it would connect to downtown Los Angeles via commuter train, is estimated to cost $12 billion - three times the price envisioned in the mid-2000s.",Lean Left,0,washington-post,38.8,-6.85
"According to archived versions of his profile, Santos started with a $75-per-video fee and quickly upped it before landing on a rate of $350 at the time of publication.",Lean Left,0,washington-post,38.8,-6.85
"Share this article Share Census survey data showed 53 percent of 18- to 29-year-olds voted in 2020, up nine points from 2016, which helped to fuel the country’s highest turnout in more than a century.",Lean Left,0,washington-post,38.8,-6.85
"GAY: I’ve heard that thoughtless, reckless and hateful language on our campus.",Lean Left,1,washington-post,38.8,-6.85
"Since early 2020, federal spending has increased $9 trillion and 60% of it has been monetized by the Fed according to former Federal Reserve Governor Kevin Warsh.",Lean Right,0,fox-business,38.81,9.11
"CLICK HERE TO READ MORE ON FOX BUSINESS Upscale restaurants and home décor brands are also developing residences in Miami, including Cipriani, Casa Tua and Baccarat.",Lean Right,0,fox-business,38.81,9.11
He pointed to factors such as the business changing and the quality of some of the films.,Lean Right,0,fox-business,38.81,9.11
"Riddell makes the majority of the helmets worn by players in the National Football League , with about 76% of NFL players wearing Riddell-branded helmets per the company.",Lean Right,0,fox-business,38.81,9.11
"In that case, 51-year-old Charles Pitre had been reported missing to police.",Lean Left,0,global-news,44.54,-4.26
The aircraft occurrence summary says the Canadian CC150 Polaris military transport plane flew to Andersen Air Force Base in Guam on July 21 to pick up Canadian service members participating in a multinational military exercise centred on Indo-Pacific security.,Lean Left,0,global-news,44.54,-4.26
"Comes with fun molds including a scoop, sundae cup, and waffle press, along with toppings for your tiny shopkeeper.",Lean Left,0,global-news,44.54,-4.26
"This is the second instalment of a Global News series called ‘On The Brink,’ which profiles people who are struggling with the rising cost of living.",Lean Left,0,global-news,44.54,-4.26
"How then does Jesus make known the glory of God, and how does He explain God?",Lean Right,0,the-christian-post,36.41,10.31
He also recognizes that men like Randy Clark are not part of NAR.,Lean Right,0,the-christian-post,36.41,10.31
Another method involves interviewing them with questions without giving away your intentions.,Lean Right,0,the-christian-post,36.41,10.31
"According to CofE data analyzed by The Telegraph, 423 churches closed between 2010 and 2019, with nearly 1,000 churches closed from 1987 to 2019.",Lean Right,0,the-christian-post,36.41,10.31
"Yet it’s a perfect companion piece, particularly for the incisive diagnosis raised by former Serving His Children volunteer Jackie Kramlich, a young nurse who moved to Jinja with her husband and became frustrated with what she saw as Bach’s inability to take criticism or suggestions, even from people more educated than herself.",Left,1,vox,39.59,-10.05
"Just over 40 percent of Argentines currently live in poverty, up from 25 percent in 2017.",Left,0,vox,39.59,-10.05
"Some even talk about Dark Sky, a weather-forecasting app that Apple bought in 2020, with a mournful, wistful sadness, like a lost love.",Left,1,vox,39.59,-10.05
"Instead, it should employ airstrikes and special forces targeted at high-value Hamas targets paired with limited mass ground operations - if any.",Left,0,vox,39.59,-10.05
"Senator Jeff Merkley, Democrat of Oregon), and promote cooperation among central banks to reduce climate-related risks in the financial system.",Center,0,foreign-affairs,44.56,-6.55
"Indeed, leaders of both the U.S. and the Soviet government came to realize that avoiding a nuclear war of which their nation would be the first victim was a cardinal responsibility.",Center,0,foreign-affairs,44.56,-6.55
