text,source_party,source_name,label,sentence_id,source,reliability,bias
"Scientists believe it may be the battered remains of an early planet’s core, and could shed light on the inaccessible centers of Earth and other rocky planets.",Lean Left,the-independent,0,2442e49c-1d7e-4519-8432-f76f3338cc24,the-independent,38.37,-6.99
"Trump has been dominating his rivals both nationally and in Iowa, which will kick off the election with its caucuses on Jan. 15.",Lean Left,nowthis-news,0,6a16c003-9c6a-4817-81b2-de5ca570cbdd,nowthis-news,41.47,-7.95
"The short answer is President Ronald Reagan, whose crisp, Cold War thinking reduced domestic policy to a series of simple choices.",Lean Left,cnn,1,6fe12cad-94d4-4b30-af71-634567cacea9,cnn,42.06,-6.28
"But in this case, Rocha created a whole facade and a scenario where he’s a hardcore Republican to the public, but in private, in reality, he’s supporting a communist regime.",Lean Left,politico,1,d60253e7-0f10-4cbc-a2a7-ddce0f410ac0,politico,42.32,-5.58
"Other planets might have the same mixed material in their mantles, researchers believe, since giant impacts of the kind that hit our Earth often happen as planets grow.",Lean Left,the-independent,0,93136ed6-48e5-4b68-9d57-441befc7e293,the-independent,38.37,-6.99
"Under public pressure, Facebook, Twitter and other social media sites created policies prohibiting false election claims and set up teams devoted to monitoring abuse, from cracking down on posts telling people the wrong day to vote to disrupting coordinated influence operations backed by foreign governments.",Lean Left,npr,0,c96c0a9c-fb9b-4776-b1d6-dd9ecde7b1a1,npr,42.99,-4.27
The scandal is about a decade old and more than a thousand miles away from Des Moines - and the attack still lands with the audience.,Lean Left,nbc-news,1,e006b683-5827-4164-b500-9bfe4195ccf0,nbc-news,43.21,-5.79
But not nearly enough to meet the goals of the Paris accord and stave off even more extreme events like what’s recently struck Brazil.,Lean Left,the-verge,1,c9bd700b-8a9d-498a-904e-867057e29cf5,the-verge,39.43,-4.75
"Q: This is the time of year when a lot of people are focused on the story of Thanksgiving - a myth, really, that imagines a largely benign interaction between the Wampanoag people and the early English settlers in 1621.",Lean Left,san-diego-uniontribune,1,4f6e4952-c175-4898-b61f-c726ff864ac6,san-diego-uniontribune,45.68,-1.76
"Over the ensuing three years, they invested millions of dollars into fomenting a coup.",Lean Left,al-jazeera,1,5833fff6-5ab1-45d8-9105-dfa5c5088a0c,al-jazeera,41.34,-7.05
There's a growing debate in Ukraine over just how much their society should tolerate Orthodox believers loyal to the Moscow church in a time of bitter war.,Lean Left,npr,1,2ca5064c-8898-4b1d-a9bc-59b248b41498,npr,42.99,-4.27
Colts (15): How to best explain QB Gardner Minshew II's first four-game winning streak in the NFL?,Lean Left,usa-today,0,6684be8c-9013-4742-a665-094a524de8fd,usa-today,40.78,-4.12
"Dan Himbrechts/AAP International complications The 700 passengers were represented by Patrick Ho, a Canadian citizen who had booked his cruise through a Canadian travel agent.",Lean Left,the-conversation,0,719d4eef-ed0f-478e-85e5-055af6da2fba,the-conversation,40.75,-4.86
Search the newspaper archive Get a piece of Chicago history with articles from the Sun-Times newspaper archive.,Lean Left,chicago-suntimes,0,4063659b-47f2-42eb-928e-c6ffaa7fa3cf,chicago-suntimes,45.44,-4.35
"Motivated by Pakistan’s usefulness as a counterweight to China and to Soviet-leaning India, Kissinger was unmoved by the killing of 300,000 to three million people.",Lean Left,al-jazeera,1,c33f7f76-a561-4f65-a6d2-4cb52e473dee,al-jazeera,41.34,-7.05
There’s yet another challenge that’s specific to the US: none of the existing global fleet complies with America’s Jones Act.,Lean Left,the-verge,0,72782656-0e56-4134-8a86-049a8ad623aa,the-verge,39.43,-4.75
But what they were reacting to was the basic act of running.,Lean Left,the-guardian,0,332e25e4-9d9e-42c3-9ffb-be659110b84c,the-guardian,40.67,-7.97
These ones are filled with their own kind of magic: marshmallow and chocolatey goodness!,Lean Left,cnn,1,5ba0325e-e52d-4fdb-ad9c-7cfab42961df,cnn,42.06,-6.28
But she was wrong: it had - an embarrassing gaffe that shows the people who run BBC news do not understand the reach of its own output.,Lean Left,the-guardian,1,40045792-b070-4da0-881f-a23c4f06e0e5,the-guardian,40.67,-7.97
