text,source,label,reliability,bias
"""Everybody knows we need to look at a package of different changes to Social Security to make it strong for the long term,"" he said.",huffpost,0,37.82,-10.75
That absolutely includes Senator Lieberman.”,huffpost,0,37.82,-10.75
"Sen. Ted Cruz (R-Texas) on Friday lashed out at Donald Trump, accusing the billionaire of enlisting ""his friends at the National Enquirer and his political henchmen to do his bidding.""",huffpost,1,37.82,-10.75
"President Donald Trump tweeted on Thursday that Defense Secretary Jim Mattis, a retired Marine general who was one of Trump’s first Cabinet picks, would be retiring at the end of February.",huffpost,0,37.82,-10.75
"Asked why Sayoc appeared to be targeting Democratic politicians and others critical of Trump, Attorney General Jeff Sessions said he didn’t know but that the suspect “appears to be a partisan”",huffpost,0,37.82,-10.75
"We know that on January 1 people's taxes will go up, we know that at the end of this month 2 million people will lose their unemployment insurance.",huffpost,0,37.82,-10.75
Christie initially supported the standards but said recently that he no longer supports them because of how they've played out in his state.,huffpost,0,37.82,-10.75
"To which Duncan replied: ""It was a terrorist attack.",huffpost,0,37.82,-10.75
"He has criticized Attorney General Jeff Sessions numerous times for recusing himself from supervising the Russia investigation, and claims to have the right to direct government investigations himself.",huffpost,0,37.82,-10.75
Tea party organizers disputed claims of racism and called on the NAACP to withdraw the resolution.,huffpost,0,37.82,-10.75
The White House nevertheless insists that its package of proposals has teeth.,huffpost,0,37.82,-10.75
"Democrats rejected the offer before Trump even announced it on Saturday, however, maintaining that it didn’t go nearly far enough and that the president ought to reopen the government before any negotiations over the border proceed.",huffpost,0,37.82,-10.75
Issa has issued a subpoena to compel Lerner to appear at the hearing.,huffpost,0,37.82,-10.75
It's a reference to the fact that Labrador is generally respected by both the House leadership and back-bench tea party legislators.,huffpost,0,37.82,-10.75
"He accused Obama of carrying out a confusing policy on the civil war in Libya, saying ""nobody knows what's happening, and now it looks like (Libyan strongman Moammar) Gadhafi is going to beat the United States.""",huffpost,0,37.82,-10.75
Boehner has refused to budge from his refusal to consider raising tax rates on top earners while arguing that heavy spending cuts are needed.,huffpost,1,37.82,-10.75
"""I think it's a sign of maturity, because probably five years ago, six years ago, we might not have been having this debate.""",huffpost,0,37.82,-10.75
"As I was just telling these young people, change is possible.",huffpost,0,37.82,-10.75
He is talking with Brown's parents and with members of the local congressional delegation.,huffpost,0,37.82,-10.75
"""He's cool,"" Murray said of Cowan.",huffpost,0,37.82,-10.75
"WASHINGTON - And on the second day of Republican rule, the House read the Constitution.",huffpost,0,37.82,-10.75
"“A Republican involved with the project said it’s airing in Miami, West Palm Beach and Ft. Myers.",huffpost,0,37.82,-10.75
"“It’s not as if he just didn’t get what he wanted so he’s waving a magic wand and taking a bunch of money,” Mulvaney said.",huffpost,0,37.82,-10.75
"""Listen, if Republicans were walking in lockstep, my job would be a whole lot easier,"" he added.",huffpost,0,37.82,-10.75
"""We in Washington stand for equality,"" he said.",huffpost,0,37.82,-10.75
Stone has described his contact with the Russians ― who used the handle “Guccifer 2.0” ― as “benign.”,huffpost,0,37.82,-10.75
"President Donald Trump’s oldest son, Donald Trump Jr., communicated with WikiLeaks over Twitter direct message during the 2016 presidential race, according to a report in The Atlantic published Monday.",huffpost,0,37.82,-10.75
They are already pursuing a reauthorization of the Voting Rights Act in a separate bill.,huffpost,0,37.82,-10.75
"When the teacher didn’t do something right, the principal had to jump in.",huffpost,0,37.82,-10.75
"""You've been debating a commemorative coin for baseball.",huffpost,0,37.82,-10.75
You've had legislation reaffirming that 'In God We Trust' is our motto.,huffpost,0,37.82,-10.75
"But senior administration officials on Wednesday said that Michael J. Morell, then the deputy director of the CIA, also wanted that line removed, separately from Nuland.",huffpost,0,37.82,-10.75
"When asked about the looming sequester, he said the ""best-case scenario"" was a ""balanced approach"" of spending cuts and tax increases.",huffpost,0,37.82,-10.75
"Hutchinson's report and his press conference were both met with scathing criticism from the American Federation of Teachers, which supports broader gun control measures and strongly opposes arming educators.",huffpost,1,37.82,-10.75
"She does, however, condone “mocking the Mocker in Chief.”",huffpost,0,37.82,-10.75
"If anything, it's clearer now than it was last week (when Democrats were mostly silent on the matter) how deeply the party just wants this entire issue to go away.",huffpost,0,37.82,-10.75
"On Thursday, the state's general assembly passed new language explicitly stating that the law does not allow discrimination based on sexual orientation or gender identity.",huffpost,0,37.82,-10.75
"“I don’t think I can guarantee a House outcome but I think the stronger the bill, in terms of the strength of the bipartisanship in the bill ― the odds go up in the House,” Sen. Tim Kaine (D-Va.) told HuffPost on Monday.",huffpost,0,37.82,-10.75
"A more congenial Rick Santorum doubled down on several controversial, and religiously laden, remarks in an interview Sunday morning on CBS's ""Face the Nation,"" where he defended his recent claims that prenatal testing results in abortions, that federally provided education was ""anachronistic,"" and that President Obama's policies are not ""based on the Bible.""",huffpost,0,37.82,-10.75
"Trump met on Wednesday with Lieberman and three other candidates: current acting FBI Director Andrew McCabe; Frank Keating, the former governor of Oklahoma who previously served as an FBI agent and in high-level positions in the Justice Department; and Richard McFeely, who served in the FBI for 24 years before retiring as executive assistant director in 2014.",huffpost,0,37.82,-10.75
"Clinton, who is often described as the Democratic presidential frontrunner for 2016, has faced scrutiny since Monday when The New York Times reported that she may have violated federal records law by using a personal email account for all of her work messages as secretary of state.",huffpost,0,37.82,-10.75
"It simply mirrors federal law that President Bill Clinton signed in 1993.""",huffpost,0,37.82,-10.75
"“These are not hoax devices,” he said.",huffpost,0,37.82,-10.75
"“I have no idea whether or not the cover story about Ted Cruz in this week's issue of the National Enquirer is true or not, but I had absolutely nothing to do with it, did not know about it, and have not, as yet, read it.",huffpost,0,37.82,-10.75
Sen. Bernie Sanders (I-Vt.) confirmed on Wednesday that Hodgkinson had volunteered for his presidential campaign.,huffpost,0,37.82,-10.75
"But from the start, the evidence on the scene in Benghazi was more complex.",huffpost,0,37.82,-10.75
"“In fact, in his decades of service, Special Agent Strzok has proved himself to be one of the country’s top counterintelligence officers, leading to only one conclusion ― the decision to terminate was taken in response to political pressure, and to punish Special Agent Strzok for political speech protected by the First Amendment, not on a fair and independent examination of the facts.",huffpost,0,37.82,-10.75
African elephants have been listed as threatened under the Endangered Species Act since 1978.,huffpost,0,37.82,-10.75
"""I'm not going to talk about this anymore,"" Weiner told reporters on Capitol Hill.",huffpost,0,37.82,-10.75
"Debate was mostly closed to the public, but the final version ""calls on the tea party and all people of good will to repudiate the racist element and activities within the tea party,"" said Hilary Shelton, director of the NAACP's Washington bureau.",huffpost,0,37.82,-10.75
I think some things I’ve been asked to do are beyond my ability.,huffpost,0,37.82,-10.75
"Huckabee made the announcement in his hometown of Hope, Arkansas.",huffpost,0,37.82,-10.75
A sitting Congressman-a presumed living extension of James Madison and other founding fathers-was asked on a public street whether he supported the President’s agenda.,huffpost,0,37.82,-10.75
They want someone different.,huffpost,0,37.82,-10.75
"If it were anyone other than Biden, who is treated by the press as a lovable, half-crazy uncle, he would have been labeled insufferable.",huffpost,0,37.82,-10.75
"If the Supreme Court were to rule in favor of Nebraska and Oklahoma, all state marijuana laws, in any form, could be in jeopardy of being unraveled.",huffpost,0,37.82,-10.75
"Moore’s campaign denied the allegations, which The Washington Post first reported, telling the paper the accusations of four women are “the very definition of fake news.”",huffpost,0,37.82,-10.75
"The organization made multiple requests of Trump Jr., asking him to provide his father’s tax returns and suggesting the candidate refuse to concede if he lost the election to Democratic opponent Hillary Clinton.",huffpost,0,37.82,-10.75
"They said the campaign finance disclosures and the public funding of elections assaulted free speech rights, the ethics laws were too broad and unnecessary, and the creation of a federal election day holiday was an unnecessary benefit for lazy workers.",huffpost,0,37.82,-10.75
"And while many predict that Steele will call it quits after his current term, his increasing seclusion and detachment from other Republican advisers has made his forthcoming decision difficult to ascertain.",huffpost,0,37.82,-10.75
"Rep. Bruce Braley (D-Iowa), who is running to succeed retiring Sen. Tom Harkin (D-Iowa), faced tough local coverage Tuesday after critical comments he made about Sen. Chuck Grassley (R-Iowa) were made public.",huffpost,0,37.82,-10.75
“It’s official: Chuck Schumer is the worst negotiator in Washington ― even worse than Trump.,huffpost,0,37.82,-10.75
"Outside economists and trade experts, however, said the revisions in the North American Free Trade Agreement, which Trump has rebranded the United States Mexico Canada Agreement, will not bring in to the U.S. Treasury anywhere near what is necessary to pay for a wall.",huffpost,0,37.82,-10.75
"Separate from Wednesday's document release, the CIA recently conducted an internal review of how and why the talking points were changed -- a move that also came in response to the continuing questions from Congress.",huffpost,0,37.82,-10.75
"“We stand by our reporting and the sources who informed it, and we urge the Special Counsel to make clear what he’s disputing,” Smith tweeted.",huffpost,0,37.82,-10.75
Republicans have consistently supported the effort.,huffpost,0,37.82,-10.75
"“My man! You are the man,” Holder said as Johnson walked in.",huffpost,0,37.82,-10.75
"“I apologize to Sen. Grassley and anyone I may have offended,” Braley wrote.",huffpost,0,37.82,-10.75
"The president's plan also calls on Congress to allocate resources to help schools, other educational institutions and houses of worship develop emergency management plans.",huffpost,0,37.82,-10.75
"Hutchinson called them ""totally inadequate.""",huffpost,0,37.82,-10.75
"Colorado voters approved Amendment 64, legalizing recreational marijuana in the state, in 2012.",huffpost,0,37.82,-10.75
The gun-rights lobby has already signaled that it will try to block the administration's effort.,huffpost,0,37.82,-10.75
"Trump, who was accompanied by parents of children killed by unauthorized immigrants, said he was declaring the national emergency for “virtual invasion purposes.”",huffpost,0,37.82,-10.75
Boutrous said the class-action nature of the case deprives the company of its legal rights because it is being forced to defend the treatment of female employees regardless of the jobs they hold or where they work.,huffpost,0,37.82,-10.75
