text,label,preds
What is an animal? A living creature that is not a plant or a human.,0,0
"What do animals need to survive? Food, water, and shelter.",0,0
"What are some examples of animals that can fly? Birds, butterflies, and bats.",0,0
Which animal is known for having a long neck? The giraffe.,0,0
Which animal is known for being slow-moving and carrying its home on its back? The turtle.,0,0
What is an animal that lives in the water and has gills? A fish.,0,0
What is an animal that flies and has feathers? A bird.,0,0
What is an animal that is often kept as a pet and barks? A dog.,0,0
Which animal is known for having stripes and living in Africa? The zebra.,0,0
What is an animal that has a long tail and climbs trees? A monkey.,0,0
What is an animal that is black and white and lives in the polar regions? The penguin.,0,0
What animal is pink and has a curly tail? The pig.,0,0
What is an animal that has a long trunk and tusks? The elephant.,0,0
"Which animal is known for its stripes, and lives in the jungle? The tiger.",0,0
"What is an animal that is small, has eight legs, and spins webs? A spider.",0,0
What is an animal that can change color to match its surroundings? The chameleon.,0,0
"What is an animal that has a long, sticky tongue and eats flies? The frog.",0,0
What animal is known for having a bushy tail and collecting nuts? The squirrel.,0,0
What is an animal that can live both on land and in water? The frog.,0,0
"What animal is known for its black and white stripes, and living in Asia? The panda.",0,0
What animal is sometimes kept as a pet and is known for playing with strings? The cat.,0,0
What is an animal that can be found in the desert and has humps? The camel.,0,0
What is an animal that can be found in Australia and has a pouch for carrying babies? The kangaroo.,0,0
"What animal is known for its long, thin body and for being able to hiss? The snake.",0,0
What is an animal that has spots and is known for running fast? The cheetah.,0,0
What is an animal that is black and white and lives in bamboo forests? The panda.,0,1
What is an animal that has a mane and is called the 'King of the Jungle'? The lion.,0,0
"What is an animal that has two long, curved horns? The bull.",0,0
What is an animal that grows a hard shell for protection? The turtle.,0,0
"What animal is known for its long, sticky tongue and is very good at catching insects? The anteater.",0,0
"What is an animal that has a big, flat tail and sharp teeth? The beaver.",0,0
"What is an animal that can climb trees, has fur, and a long tail? The monkey.",0,0
"What is an animal that has black and white stripes, and is known for its strong legs? The zebra.",0,0
What animal is known for being able to glide through the air using the skin between its legs as wings? The flying squirrel.,0,0
What is an animal that lives in the ocean and has a hard shell? The crab.,0,0
What animal is known for its great eyesight and its ability to turn its head almost all the way around? The owl.,0,0
"What is an animal that has a long, sticky tongue and is very good at catching insects? The anteater.",0,0
"What animal is known for its long, curved neck? The giraffe.",0,0
What is an animal that has black and white stripes and lives in the jungle? The zebra.,0,0
"What is an animal that looks like a cat but has black and white stripes, and lives in Asia? The tiger.",0,0
What is an animal that can fly and drinks nectar from flowers? The hummingbird.,0,0
What is an animal that can swim and is known for holding its breath for a long time? The dolphin.,0,0
"What is an animal that is round, puffy, and gray, and known for being able to squirt water from its trunk? The elephant.",0,0
"What animal is known for having a big, bushy tail and gathering acorns for the winter? The squirrel.",0,0
"What is an animal that lives underground, has sharp claws, and is good at digging tunnels? The mole.",0,0
"What animal is known for having big ears and a bushy tail, and is able to climb trees? The fox.",0,0
What animal is known for its big belly and for liking to eat bamboo? The panda.,0,0
"What is an animal that can be found both in the ocean and on land, and is known for its hard shell? The turtle.",0,0
"What animal is known for its long, thin body and often found hiding in the grass? The snake.",0,0
"What is an animal that can be found in both the Arctic and Antarctic regions, and is known for its black and white coloring? The penguin.",0,0
"What animal is known for having a long, bushy tail, and for being able to climb trees very well? The raccoon.",0,0
"What do plants need to grow? Water, sunlight, and soil.",0,0
Can plants move by themselves? No.,0,0
What is the part of the plant that makes food for the plant? Leaves.,0,0
What is the name of the process that plants use to make their food? Photosynthesis.,0,0
What part of a plant absorbs water and nutrients from the soil? Roots.,0,0
How does water travel through a plant? Through the stem.,0,0
What is the name of the process that allows plants to release water through their leaves? Transpiration.,0,0
Can plants grow without sunlight? No.,0,0
What is the name of the structure that holds the seeds of a flowering plant? Fruit.,0,0
How do bees and butterflies help plants? By pollinating them.,0,0
Which is the smallest part of a plant? Cell.,0,0
Which is the largest part of a plant? Trunk.,0,0
What do we call a plant that lives for more than two years? Perennial.,0,0
What is the name for plants that have woody stems? Trees.,0,0
What is the name for plants that are not trees? Shrubs.,0,0
What is the name of the colored part of the flower that attracts insects? Petals.,0,0
What do we call the stalk that supports the flower? Stem.,0,0
What do we call the small leaves that protect the flower when it's a bud? Sepals.,0,0
What do we call the part of the plant that produces pollen? Anther.,0,0
What do we call the female part of the flower? Pistil.,0,0
What is the name of the sticky substance that allows pollen to stick to bugs and birds? Pollen grains.,0,0
Which part of the plant do we eat when we eat a carrot? Root.,0,0
Which plant is known for its soft leaves and being used to stuff teddy bears? Cotton.,0,0
What do we call the type of plant that produces flowers but not seeds? Fern.,0,0
"What is the name of the tall grass that grows in wet areas and is known for its long, sharp leaves? Reed.",0,0
Which is the most common flower color? Red.,0,0
What is the name of the plant that lives in water and has a stem that stands above the surface? Lily pad.,0,0
What do we call the process of a seed growing into a plant? Germination.,0,0
Which plant is known for having spiky leaves and being used to make aloe vera gel? Aloe vera.,0,0
"Which plant is often associated with Halloween, with a black and orange appearance? Pumpkin.",0,0
What do we call a plant that is grown for its beauty or fragrance? Ornamental plant.,0,0
What do we call a plant that is grown to produce food for people or animals? Crop.,0,0
What is the name of the plant that is known for its sour taste and is often used in cooking? Lemon.,0,0
"What do we call the process of picking up seeds, fruits, and vegetables from a plant? Harvesting.",0,0
What do we call the process of removing weeds from a garden? Weeding.,0,0
What is the name of the tool used for digging holes in the soil? Shovel.,0,0
What is the name of the tool used to prune plants? Shears.,0,0
What do we call a plant that grows where it is not wanted? Weed.,0,0
What is the name of the gas that plants breathe in? Carbon dioxide.,0,0
What is the name of the process by which water turns into vapor and is released from leaves? Evaporation.,0,0
What is the name of the leafy vegetable that is often used in salads? Lettuce.,0,0
What is the name of the plant with a long stem that is often used to make pickles? Cucumber.,0,0
"What is the name of the plant that produces a sweet, yellow fruit known for being high in potassium? Banana.",0,0
What is the name of the plant that is famous for growing in the desert and having sharp spines? Cactus.,0,0
"What is the name of the plant that is known for being carnivorous, meaning it eats insects? Venus flytrap.",0,0
What do we call the practice of planting different crops in the same field each year to maintain soil fertility? Crop rotation.,0,0
What is a type of fruit that is red on the outside and has seeds on the inside? Strawberry,0,0
What type of drink is made from ground beans and is usually hot? Coffee,0,0
"What is a round fruit that can be red, green, or yellow on the outside, and has a white inside with black seeds? Watermelon",0,0
What type of meat comes from a pig? Pork,0,0
"What is a food that is usually long, yellow, and curved? Banana",0,0
What is a drink made from crushed grapes? Wine,0,0
What is a type of sandwich that is made with peanut butter and jelly? PB&J,0,0
What is a type of food that can be crunchy and comes in many different flavors? Chips,0,0
"What is a round vegetable that can be red, yellow, or green, and is often used to make salads? Tomato",0,0
What do cows produce that can be used to make cheese? Milk,0,0
What type of drink is usually carbonated and comes in many different flavors? Soda,0,0
"What type of fruit is green on the outside and pink on the inside, with black seeds? Watermelon",0,0
"What type of food is usually long, yellow, and has a peel? Banana",0,0
What type of drink is cold and made from frozen milk and sugar? Ice cream shake,0,0
What type of meat comes from a cow? Beef,0,0
What is a food made from dough that is usually round and has toppings on it? Pizza,0,0
"What is a round, juicy fruit that can be red, yellow, or green? Apple",0,0
What type of food comes in a shell and can be eaten raw or cooked? Egg,0,0
What type of drink comes from a cow and is often white? Milk,0,0
What type of meat comes from a turkey and is usually eaten on Thanksgiving? Turkey,0,0
"What type of food is usually brown, crunchy, and made from wheat? Bread",0,0
What type of drink is made from tea leaves and can be served hot or cold? Tea,0,0
"What is a type of sandwich that is made with ham, cheese, and bread? Ham and cheese",0,0
What type of meat comes from a chicken and can be fried or grilled? Chicken,0,0
What is a type of food that comes in a can and is usually sweet? Fruit cocktail,0,0
What is a type of drink that is made from fermented grains and comes in many different flavors? Beer,0,0
What type of fruit is usually orange and can be peeled? Orange,0,0
"What type of food is made from a thin, flat dough and can be topped with sauce and cheese? Pizza",0,0
What type of drink is made from ground cocoa beans and can be hot or cold? Chocolate milk,0,0
"What is a type of sandwich that is made with bacon, lettuce, and tomato? BLT",0,0
What type of meat is often used to make hamburgers? Beef,0,0
What type of food is usually made from potatoes and can be fried or baked? French fries,0,0
What type of drink is made from fermented grapes and can be alcoholic? Wine,0,0
What type of fruit is usually yellow and has a peel that can be peeled? Banana,0,0
"What type of food is usually round, yellow, and can be eaten for breakfast? Pancakes",0,0
What type of drink is made from boiling water and ground coffee beans? Coffee,0,0
What type of meat comes from a pig and is usually eaten for breakfast? Bacon,0,0
"What is a type of sandwich that is made with ham, cheese, and turkey? Club sandwich",0,0
"What type of food is usually made from dough, fried or baked, and can be sweet or savory? Donut",0,0
"What type of drink is made from mashed fruit and sugar, and can be served hot or cold? Juice",0,0
What is a type of meat that comes in a can and is usually used for sandwiches? Spam,0,0
What type of food is usually made from rice and can be mixed with vegetables and meat? Fried rice,0,0
"What type of fruit is usually green and has a brown, fuzzy outside? Kiwi",0,0
"What type of drink is made from boiling water and teabags, and can be served with sugar or milk? Tea",0,0
What is a type of sandwich that is made with tuna and mayonnaise? Tuna salad,0,0
What type of food is usually made from ground wheat and can be cooked in many different ways? Pasta,0,0
What type of drink is made from fermented grapes and is usually carbonated? Champagne,0,0
"What type of fruit is small, round, and usually purple, blue, or red? Blueberry",0,0
"What type of food is usually long, orange, and can be cooked or eaten raw? Carrots",0,0
What is music? Music is a collection of sounds that are pleasant to listen to.,0,0
"What are some types of musical instruments? String, percussion, wind, and electronic instruments are common types.",0,0
What is a melody? A melody is a tune or series of notes that are played one after another.,0,0
What is a beat? A beat is the rhythm or pulse of the music.,0,0
"Can music be fast or slow? Yes, music can be fast or slow.",0,0
What is a song? A song is a piece of music that includes lyrics or words.,0,0
What is a singer? A singer is someone who sings or performs songs.,0,0
What is a band? A band is a group of musicians who play instruments together.,0,0
What is a concert? A concert is a live performance by musicians or singers.,0,0
What is a microphone? A microphone is a device that amplifies sound and allows people to sing or speak into it.,0,0
What is a music note? A music note is a symbol on a sheet of music that represents a sound or pitch.,0,0
What is a piano? A piano is a musical instrument with keys that are pressed to play different notes.,0,0
What is a guitar? A guitar is a musical instrument with strings and is played by strumming or picking.,0,0
What is a drum? A drum is a musical instrument that is played by hitting it with sticks or hands.,0,0
What is a trumpet? A trumpet is a brass instrument that is played by blowing into it and pressing the valves.,0,0
What is a flute? A flute is a wind instrument that is played by blowing into it and covering different holes to create different notes.,0,0
What is a saxophone? A saxophone is a woodwind instrument that is played by blowing into it and pressing different keys.,0,0
What is a violin? A violin is a string instrument that is played by using a bow to create different notes.,0,0
What is a conductor? A conductor is the person who leads the musical performance and directs the musicians.,0,0
What is a choir? A choir is a group of singers who perform together.,0,0
"What is the difference between a solo and an ensemble? A solo is a performance by one person, while an ensemble is a performance by a group of people.",0,0
"What is the difference between a symphony and an orchestra? A symphony is a musical piece composed for a large ensemble, while an orchestra is the group of musicians who perform together.",0,0
"Can you learn music at school? Yes, many schools offer music classes and lessons.",0,0
What is a musical? A musical is a type of theater production that includes singing and dancing.,0,0
What is a soundtrack? A soundtrack is the music that accompanies a movie or television show.,0,0
What is a jingle? A jingle is a short tune or song that is used in advertisements or commercials.,0,0
What is a DJ? A DJ is a person who plays and mixes recorded music for an audience.,0,0
What is a record? A record is a disc that has music or sound recorded onto it.,0,0
What is a CD? A CD is a disc that has digital music recorded onto it.,0,0
What is an MP3 player? An MP3 player is a device that plays digital music files.,0,0
What is a speaker? A speaker is a device that amplifies sound and allows you to hear music more clearly.,0,0
What is a headset? A headset is a device that you wear on your head and that lets you listen to music without disturbing others.,0,0
What is a stage? A stage is the platform on which musicians or performers stand during a live performance.,0,0
What is a rhythm? A rhythm is the pattern of beats in music.,0,0
What is a tempo? Tempo is the speed of the music.,0,0
What is an intro? An intro is the beginning or opening section of a song.,0,0
What is an outro? An outro is the closing or ending section of a song.,0,0
What is a verse? A verse is a section of a song that typically has lyrics and a melody that repeats throughout the song.,0,0
What is a chorus? A chorus is a section of a song that is repeated several times throughout the song and typically includes the main melody and lyrics.,0,0
What is a bridge? A bridge is a section of a song that is used to connect or transition between different parts of the song.,0,0
What is a pitch? A pitch is the highness or lowness of a sound or note in music.,0,0
What is a scale? A scale is a series of musical notes played in a specific order.,0,0
What is a key? A key is the group or set of notes that a piece of music is written in.,0,0
What is harmony? Harmony is the combination of different notes or sounds played at the same time to create a pleasing sound.,0,0
What is the treble clef? The treble clef is a musical symbol used to indicate notes that are higher in pitch.,0,0
What is the bass clef? The bass clef is a musical symbol used to indicate notes that are lower in pitch.,0,0
What is a note duration? A note duration is the length of time that note is played in music.,0,0
What is a music sheet? Music sheet is a paper form that shows the musical notation of a song.,0,0
What is a sheet music stand? A sheet music stand is a device that holds up music sheets for the musician.,0,0
"What is a metronome? A metronome is a device that keeps time for musicians by producing a regular, steady beat.",0,0
What are movies? Movies are moving pictures that tell a story through sound and images.,0,0
Where do you usually watch movies? People usually watch movies at the movie theater or at home.,0,0
"What do people eat while watching movies? People often eat popcorn, candy, and soda while watching movies.",0,0
What do we call the person who makes the movie? The person who makes the movie is called the director.,0,0
What do we call the person who acts in the movie? The person who acts in the movie is called the actor or actress.,0,0
