text,source_party,source_name,label,sentence_id,source,reliability,bias
Young founders thought he was the kind of guy you’d want to have a (nonalcoholic) beer with.,Center,fortune,0,8d095778-48df-45bd-98c2-d296125cab31,fortune,36.93,-2.44
Is Elon Musk’s reckless and odd behavior with his social media toy finally catching up with him?,Center,poynter,1,e16874c0-7f66-4333-b23b-35f0916145fa,poynter,41.75,-7.32
"Photograph: Darron Cummings/AP Like the bridge, the national conversation about campus responses to the Israel-Hamas war has been an angry tit-for-tat, driven by misunderstanding and accusations of antisemitism and Islamophobia.",Center,christian-science-monitor,1,30fc357d-89ce-4b64-a0fc-3a5930a9f7b4,christian-science-monitor,44.22,-2.47
"If our standards and trust editor back reads your line-edited copy and deems it publishable, you're gold.",Center,poynter,0,cc85b6be-ece8-43cf-b794-f1dc45506a26,poynter,41.75,-7.32
"He also made trips to Washington, D.C.; Austin, Texas; and St. Louis, Missouri.",Center,baltimore-sun,0,0eccc01b-e955-48ce-93a5-7b4e256b8d58,baltimore-sun,44.41,-4.13
"If your plan lacks the speeds you need, upgrading to a faster plan (assuming one is available) will be your best option.",Center,cnet,0,99bf096f-cbef-4b60-97a8-ebb1d1dab7c0,cnet,40.02,-1.39
"Argos lets you pick a free game, and it’s not all cheap dross.",Center,wired,1,2de904c1-d868-48af-99f4-08bc31c195ef,wired,36.77,-7.24
"That means the fund has been able to generate a positive return even as yields have climbed, sending other fixed income prices lower.",Center,cnbc,0,4beaaa20-dcdc-4662-a1ab-89da572c236f,cnbc,43.82,-1.81
"CosMc’s revolves around a character introduced in 1987-a robot of sorts, with a green head, a fishbowl-like body, and arms and legs.",Center,fortune,0,d580a1cd-ea40-4cf7-acff-e429f5664e9d,fortune,36.93,-2.44
Sync Video to Paragraph CHARLIE MUNGER: And we don't know (APPLAUSE) exactly where that comes.,Center,cnbc,0,cc1c3488-7d76-4839-8f4b-1e55b35b90f3,cnbc,43.82,-1.81
"You're probably thinking of putting your loved one in a boat with their hands on the pommel of their sword, and pushing them out into the lake, shooting flaming arrows at it until it goes up in flames.",Center,wired,1,1b59e08a-bb69-4846-b3f0-3add9986db4d,wired,36.77,-7.24
"Shrinking, ultimately, is about the things people do to cope, but it also features a dream team of a cast and one very memorable party scene featuring an (unrelated) vomit-soaked piano and a super-stoned Ford.",Center,wired,1,575262c3-f995-43a6-a45f-5c6a7804b688,wired,36.77,-7.24
So all of these dangly elements here it's good to make use of them.,Center,wired,1,ca6693b2-4d0d-444a-bbbf-327311ed01fb,wired,36.77,-7.24
"More than 230,000 women and 14,000 LGBTQ+ people serve in our armed forces today, meaning thousands of active duty service members stationed in states with restrictive laws are feeling the brunt of extreme politicians’ efforts to limit their freedoms.",Center,military-times,0,2fb4f515-acee-46d5-b74d-a10e143686c0,military-times,46.49,-0.19
"The arms race grabbed the attention of politicians around the world, who have scrambled to understand the tech themselves and try to set up regulations for it.",Center,detroit-news,0,e4b6adbd-868c-4b0e-9a96-b45d9652227c,detroit-news,45.92,-2.2
Stellantis in 2021 announced a partnership to offer special-edition Jeeps and Fiats to help fund more than $4 million for pandemic relief efforts over three years.,Center,detroit-news,0,e7341273-4f0e-478b-9e6d-f0820a03bfa7,detroit-news,45.92,-2.2
"He did a great job, but he ain't nothing like his daddy.",Center,wired,1,e06e0a3b-10fe-442c-8f76-d25d7cd4b530,wired,36.77,-7.24
Why We Wrote This Sandra Day O’Connor’s historic appointment as the first female justice of the U.S. Supreme Court opened doors to women.,Center,christian-science-monitor,0,a496669d-9137-4891-a328-e7ea506674d2,christian-science-monitor,44.22,-2.47
He’s been perfecting it since he was Stringer Bell on The Wire.,Center,wired,1,0e6ceadd-4cf9-4d28-ba5d-15bcaa1737ce,wired,36.77,-7.24
"Since the photos are not instantly available on your phone, most Zoomers who use digital cameras appreciate the delayed gratification in having to upload the photos onto a desktop.",Center,cnbc,1,8865b656-d86f-45ba-9779-603ee322dd57,cnbc,43.82,-1.81
